"","n","a1","a2","a3","a4","a5","a6","b1","dsa","dsb"
"1",16001,6,13,16,18,20,22,13,0,0
"2",16002,9,14,17,20,24,30,16,19,3
"3",16003,1,10,14,23,26,28,1,-12,-15
"4",16004,8,10,17,22,25,33,12,13,11
"5",16005,11,14,18,20,31,33,14,12,2
"6",16006,13,16,18,20,28,31,12,-1,-2
"7",16007,5,12,14,20,27,29,6,-19,-6
"8",16008,2,15,24,29,32,33,2,28,-4
"9",16009,10,14,24,25,27,32,4,-3,2
"10",16010,2,4,12,14,19,25,6,-56,2
"11",16011,3,8,10,15,22,29,12,11,6
"12",16012,7,12,14,16,27,32,15,21,3
"13",16013,7,12,21,22,26,31,1,11,-14
"14",16014,2,8,10,18,20,27,7,-34,6
"15",16015,1,2,14,22,25,26,7,5,0
"16",16016,1,20,22,24,25,26,16,28,9
"17",16017,5,6,8,20,22,30,5,-27,-11
"18",16018,12,13,14,17,21,25,4,11,-1
"19",16019,6,13,16,17,23,30,10,3,6
"20",16020,1,2,10,12,22,24,10,-34,0
"21",16021,9,11,13,22,24,26,5,34,-5
"22",16022,4,9,19,22,23,30,7,2,2
"23",16023,3,6,10,19,25,29,7,-15,0
"24",16024,2,5,7,14,18,31,13,-15,6
"25",16025,4,11,12,17,24,30,12,21,-1
"26",16026,4,9,12,28,30,33,1,18,-11
"27",16027,11,13,15,17,19,31,5,-10,4
"28",16028,6,8,12,21,25,29,1,-5,-4
"29",16029,12,15,18,20,21,27,15,12,14
"30",16030,10,14,19,22,25,29,12,6,-3
"31",16031,3,8,10,19,26,33,3,-20,-9
"32",16032,8,12,14,15,21,27,15,-2,12
"33",16033,6,17,18,20,27,29,15,20,0
"34",16034,3,15,21,22,23,28,15,-5,0
"35",16035,4,13,19,20,26,29,11,-1,-4
"36",16036,3,4,7,9,20,22,3,-46,-8
"37",16037,6,15,26,31,32,33,16,78,13
"38",16038,3,12,13,22,28,29,3,-36,-13
"39",16039,1,3,7,18,19,27,16,-32,13
"40",16040,3,13,19,20,23,26,3,29,-13
"41",16041,12,17,18,21,22,24,4,10,1
"42",16042,7,14,17,23,26,31,9,4,5
"43",16043,5,14,20,26,30,33,12,10,3
"44",16044,1,3,10,12,18,30,1,-54,-11
"45",16045,4,9,12,17,30,32,3,30,2
"46",16046,7,20,25,26,27,30,14,31,11
"47",16047,2,5,8,15,17,22,16,-66,2
"48",16048,3,8,13,14,15,30,4,14,-12
"49",16049,6,8,13,14,22,27,10,7,6
"50",16050,9,12,24,28,29,30,2,42,-8
"51",16051,1,2,4,9,15,33,12,-68,10
"52",16052,1,6,13,19,24,28,16,27,4
"53",16053,2,8,10,12,29,31,1,1,-15
"54",16054,6,11,16,19,28,32,4,20,3
"55",16055,5,6,10,16,22,26,11,-27,7
"56",16056,3,4,8,11,16,18,14,-25,3
"57",16057,7,12,19,22,23,26,11,49,-3
"58",16058,3,5,18,20,24,32,11,-7,0
"59",16059,4,11,12,20,25,28,15,-2,4
"60",16060,4,5,22,26,29,32,8,18,-7
"61",16061,5,6,8,18,20,32,8,-29,0
"62",16062,12,13,15,18,19,21,9,9,1
"63",16063,16,17,18,23,28,32,7,36,-2
"64",16064,3,12,14,17,19,26,3,-43,-4
"65",16065,13,16,22,25,26,27,14,38,11
"66",16066,3,7,13,18,19,20,5,-49,-9
"67",16067,9,13,18,20,27,31,4,38,-1
"68",16068,8,19,23,28,31,32,1,23,-3
"69",16069,8,10,11,20,21,27,11,-44,10
"70",16070,3,6,11,18,23,29,1,-7,-10
"71",16071,19,21,26,28,29,32,1,65,0
"72",16072,5,16,19,22,24,25,2,-44,1
"73",16073,9,11,12,15,16,20,13,-28,11
"74",16074,6,10,11,12,20,25,12,1,-1
"75",16075,1,3,6,16,29,32,7,3,-5
"76",16076,7,8,13,22,30,32,1,25,-6
"77",16077,1,9,17,19,20,29,10,-17,9
"78",16078,2,4,8,23,26,29,2,-3,-8
"79",16079,1,3,10,12,24,28,2,-14,0
"80",16080,1,16,17,24,25,32,14,37,12
"81",16081,2,6,15,25,30,32,7,-5,-7
"82",16082,6,12,14,15,17,20,9,-26,2
"83",16083,9,16,17,24,30,31,4,43,-5
"84",16084,2,4,12,18,24,26,5,-41,1
"85",16085,1,12,19,20,21,25,16,12,11
"86",16086,9,10,11,12,15,32,5,-9,-11
"87",16087,2,3,10,11,14,21,12,-28,7
"88",16088,3,14,16,18,25,33,15,48,3
"89",16089,1,3,14,30,31,32,8,2,-7
"90",16090,2,13,17,20,21,26,7,-12,-1
"91",16091,4,8,14,22,23,28,7,0,0
"92",16092,2,13,15,23,24,29,6,7,-1
"93",16093,6,9,15,17,25,27,9,-7,3
"94",16094,6,7,10,12,18,31,10,-15,1
"95",16095,1,5,9,12,18,32,12,-7,2
"96",16096,6,13,14,21,22,24,16,23,4
"97",16097,6,13,25,26,28,31,1,29,-15
"98",16098,2,8,25,29,31,32,6,-2,5
"99",16099,1,11,21,23,27,33,6,-11,0
"100",16100,3,10,22,23,27,29,4,-2,-2
"101",16101,1,3,19,24,32,33,1,-2,-3
"102",16102,5,8,10,14,17,30,13,-28,12
"103",16103,1,5,13,19,24,27,11,5,-2
"104",16104,5,9,11,18,30,31,4,15,-7
"105",16105,8,10,19,27,28,31,16,19,12
"106",16106,4,5,13,22,25,30,4,-24,-12
"107",16107,6,11,18,26,27,32,1,21,-3
"108",16108,2,3,7,8,19,26,16,-55,15
"109",16109,9,11,15,16,27,33,5,46,-11
"110",16110,5,7,28,31,32,33,8,25,3
"111",16111,2,4,7,14,15,32,4,-62,-4
"112",16112,6,12,14,15,18,25,12,16,8
"113",16113,1,11,16,17,20,26,14,1,2
"114",16114,5,16,20,22,27,29,9,28,-5
"115",16115,6,8,20,22,26,27,9,-10,0
"116",16116,7,18,20,23,27,31,13,17,4
"117",16117,3,10,14,17,28,33,2,-21,-11
"118",16118,9,14,22,23,31,33,14,27,12
"119",16119,9,19,21,30,31,32,4,10,-10
"120",16120,2,5,6,21,25,28,9,-55,5
"121",16121,2,3,10,23,25,28,9,4,0
"122",16122,15,22,23,24,28,29,8,50,-1
"123",16123,7,9,12,14,20,27,16,-52,8
"124",16124,9,15,21,24,27,32,10,39,-6
"125",16125,1,6,8,20,27,30,3,-36,-7
"126",16126,2,6,12,17,18,19,10,-18,7
"127",16127,7,12,17,26,29,31,16,48,6
"128",16128,4,9,11,17,26,27,13,-28,-3
"129",16129,5,6,8,21,31,33,14,10,1
"130",16130,3,17,21,23,27,28,1,15,-13
"131",16131,4,10,18,19,25,27,2,-16,1
"132",16132,5,8,13,19,27,28,7,-3,5
"133",16133,15,16,21,22,27,33,15,34,8
"134",16134,11,12,13,14,18,33,13,-33,-2
"135",16135,2,8,10,18,20,33,12,-10,-1
"136",16136,2,7,10,20,27,29,3,4,-9
"137",16137,1,6,9,10,15,32,14,-22,11
"138",16138,7,16,20,24,25,30,7,49,-7
"139",16139,1,6,19,26,28,30,3,-12,-4
"140",16140,1,2,5,17,26,32,10,-27,7
"141",16141,4,13,15,17,21,24,15,11,5
"142",16142,1,10,17,21,23,30,12,8,-3
"143",16143,6,9,23,24,25,33,13,18,1
"144",16144,4,10,12,27,32,33,5,-2,-8
"145",16145,1,3,7,12,19,20,6,-56,1
"146",16146,3,7,15,1,61,723,10,748,4
"147",16147,4,14,18,28,31,32,12,-683,2
"148",16148,1,2,11,20,26,30,14,-37,2
"149",16149,3,20,23,26,32,33,7,47,-7
"150",16150,2,4,5,9,13,21,5,-83,-2
"151",16151,6,11,16,20,22,33,7,54,2
"152",16152,2,8,9,16,20,22,7,-31,0
"153",16153,7,9,16,24,25,29,6,33,-1
"154",17001,9,11,14,20,25,26,15,-5,9
"155",17002,15,19,23,24,25,32,3,33,-12
"156",17003,1,4,8,15,27,32,16,-51,13
"157",17004,5,13,17,26,27,30,7,31,-9
"158",17005,6,11,12,22,23,30,5,-14,-2
"159",17006,2,4,8,26,29,33,8,-2,3
"160",17007,2,4,5,24,26,33,15,-8,7
"161",17008,7,13,15,27,28,29,13,25,-2
"162",17009,2,6,8,9,15,29,14,-50,1
"163",17010,5,8,19,25,28,30,7,46,-7
"164",17011,10,11,12,23,26,29,16,-4,9
"165",17012,10,11,14,15,16,24,7,-21,-9
"166",17013,8,11,28,29,31,33,6,50,-1
"167",17014,6,8,18,20,23,31,13,-34,7
"168",17015,1,8,9,14,17,32,1,-25,-12
"169",17016,5,8,16,22,27,29,2,26,1
"170",17017,3,7,8,10,22,23,12,-34,10
"171",17018,1,2,3,17,25,31,9,6,-3
"172",17019,4,6,8,12,23,25,8,-1,-1
"173",17020,4,8,10,12,31,33,10,20,2
"174",17021,2,5,10,22,32,33,9,6,-1
"175",17022,2,6,15,16,18,32,15,-15,6
"176",17023,1,3,4,11,18,22,14,-30,-1
"177",17024,9,21,25,26,29,31,13,82,-1
"178",17025,2,15,16,17,22,32,7,-37,-6
"179",17026,3,10,12,19,27,30,8,-3,1
"180",17027,2,4,11,14,27,30,5,-13,-3
"181",17028,7,8,12,13,22,30,9,4,4
"182",17029,2,15,21,23,25,30,10,24,1
"183",17030,1,7,9,20,23,30,2,-26,-8
"184",17031,6,10,16,26,27,29,3,24,1
"185",17032,5,8,15,24,27,31,11,-4,8
"186",17033,5,7,15,20,23,30,15,-10,4
"187",17034,4,7,8,19,32,33,13,3,-2
"188",17035,1,6,14,24,28,32,12,2,-1
"189",17036,1,2,5,10,24,27,15,-36,3
"190",17037,11,15,20,22,25,30,5,54,-10
"191",17038,1,4,8,13,24,27,5,-46,0
"192",17039,2,4,12,14,17,24,15,-4,10
"193",17040,15,19,23,28,29,33,4,74,-11
"194",17041,4,10,13,15,22,27,4,-56,0
"195",17042,1,2,4,7,10,23,4,-44,0
"196",17043,8,13,16,23,27,31,8,71,4
"197",17044,8,16,19,21,31,32,6,9,-2
"198",17045,5,7,16,20,21,25,5,-33,-1
"199",17046,4,13,14,23,26,32,10,18,5
"200",17047,2,5,8,10,32,33,2,-22,-8
"201",17048,5,8,9,14,15,19,7,-20,5
"202",17049,1,8,14,15,20,29,10,17,3
"203",17050,10,12,20,24,27,29,7,35,-3
"204",17051,2,5,9,15,24,25,11,-42,4
"205",17052,7,8,18,24,29,31,7,37,-4
"206",17053,4,9,11,15,29,31,6,-18,-1
"207",17054,2,3,9,23,28,33,8,-1,2
"208",17055,7,12,13,20,24,31,5,9,-3
"209",17056,13,14,18,19,21,28,6,6,1
"210",17057,18,20,22,23,30,31,16,31,10
"211",17058,1,9,13,22,28,32,11,-39,-5
"212",17059,4,8,9,15,19,25,9,-25,-2
"213",17060,5,10,13,24,26,31,4,29,-5
"214",17061,6,7,12,20,26,27,11,-11,7
"215",17062,1,7,22,24,26,31,10,13,-1
"216",17063,12,16,20,22,25,31,4,15,-6
"217",17064,2,10,16,22,24,28,15,-24,11
"218",17065,2,5,8,10,12,21,7,-44,-8
"219",17066,1,4,6,17,19,26,3,15,-4
"220",17067,1,3,4,10,18,29,4,-8,1
"221",17068,2,6,10,22,30,31,15,36,11
"222",17069,2,11,12,23,29,31,5,7,-10
"223",17070,1,6,14,22,25,26,12,-14,7
"224",17071,2,3,6,14,31,32,3,-6,-9
"225",17072,6,11,14,23,26,30,2,22,-1
"226",17073,3,6,16,23,26,30,14,-6,12
"227",17074,2,6,16,23,30,31,2,4,-12
"228",17075,1,3,6,19,21,29,7,-29,5
"229",17076,1,4,8,9,14,15,13,-28,6
"230",17077,1,2,4,15,17,22,14,10,1
"231",17078,5,7,18,19,22,24,16,34,2
"232",17079,3,7,14,23,25,27,8,4,-8
"233",17080,1,12,16,20,22,24,8,-4,0
"234",17081,3,5,14,25,26,30,5,8,-3
"235",17082,14,18,21,25,28,29,10,32,5
"236",17083,3,8,14,20,24,26,12,-40,2
"237",17084,1,5,11,20,22,24,2,-12,-10
"238",17085,1,5,6,16,25,30,9,0,7
"239",17086,3,5,6,13,20,22,7,-14,-2
"240",17087,3,6,13,14,19,28,6,14,-1
"241",17088,7,9,18,22,23,29,6,25,0
"242",17089,11,12,13,16,23,25,12,-8,6
"243",17090,1,7,10,16,22,33,9,-11,-3
"244",17091,5,7,10,23,28,29,3,13,-6
"245",17092,10,18,19,29,32,33,9,39,6
"246",17093,7,8,9,15,22,27,12,-53,3
"247",17094,8,11,13,19,28,31,6,22,-6
"248",17095,9,10,12,19,22,29,16,-9,10
"249",17096,2,6,11,12,19,29,6,-22,-10
"250",17097,5,10,18,19,30,31,3,34,-3
"251",17098,4,19,22,27,30,33,1,22,-2
"252",17099,2,5,6,16,28,29,4,-49,3
"253",17100,4,7,8,18,23,24,2,-2,-2
"254",17101,1,4,11,28,31,32,16,23,14
"255",17102,4,8,10,14,18,20,11,-33,-5
"256",17103,1,21,23,25,31,33,1,60,-10
"257",17104,1,14,15,20,23,30,14,-31,13
"258",17105,3,6,7,12,25,26,7,-24,-7
"259",17106,12,15,20,25,27,31,2,51,-5
"260",17107,8,9,15,17,30,32,6,-19,4
"261",17108,7,12,14,15,17,20,1,-26,-5
"262",17109,8,14,16,18,21,23,16,15,15
"263",17110,1,3,12,15,19,23,14,-27,-2
"264",17111,5,1,1,719,29,32,12,714,-2
"265",17112,3,10,14,16,22,23,11,-699,-1
"266",17113,4,6,16,27,29,33,5,27,-6
"267",17114,6,12,13,15,18,26,13,-25,8
"268",17115,4,10,11,25,30,31,1,21,-12
"269",17116,2,14,20,22,30,32,2,9,1
"270",17117,1,2,8,11,14,21,9,-63,7
"271",17118,8,9,15,22,30,33,16,60,7
"272",17119,9,16,21,25,26,31,14,11,-2
"273",17120,8,10,15,19,23,28,16,-25,2
"274",17121,11,18,19,22,24,32,7,23,-9
"275",17122,11,20,21,22,24,27,15,-1,8
"276",17123,4,5,6,11,21,31,10,-47,-5
"277",17124,2,6,11,26,28,29,3,24,-7
"278",17125,1,14,23,25,29,30,3,20,0
"279",17126,1,16,17,21,27,30,16,-10,13
"280",17127,14,15,21,24,27,32,12,21,-4
"281",17128,2,6,13,22,29,31,8,-30,-4
"282",17129,5,6,9,14,21,33,2,-15,-6
"283",17130,5,13,14,23,25,31,2,23,0
"284",17131,1,7,10,11,26,27,11,-29,9
"285",17132,2,3,5,9,13,28,11,-22,0
"286",17133,6,15,17,18,23,30,11,49,0
"287",17134,4,5,11,14,28,32,4,-15,-7
"288",17135,1,6,7,14,18,26,16,-22,12
"289",17136,3,7,10,18,21,24,12,11,-4
"290",17137,5,10,20,23,26,31,3,32,-9
"291",17138,1,17,24,28,32,33,2,20,-1
"292",17139,2,14,20,24,28,32,16,-15,14
"293",17140,21,22,25,28,29,30,8,35,-8
"294",17141,1,6,7,11,13,15,5,-102,-3
"295",17142,8,13,14,18,23,33,6,56,1
"296",17143,4,6,9,14,20,29,14,-27,8
"297",17144,3,14,16,20,31,32,9,34,-5
"298",17145,2,6,12,17,25,28,12,-26,3
"299",17146,1,19,25,26,27,33,10,41,-2
"300",17147,3,7,20,21,25,31,14,-24,4
"301",17148,4,7,11,14,29,32,12,-10,-2
"302",17149,5,8,15,20,27,30,13,8,1
"303",17150,6,14,19,20,21,23,8,-2,-5
"304",17151,2,5,7,9,11,27,16,-42,8
"305",17152,6,10,23,25,26,29,5,58,-11
"306",17153,7,11,12,13,18,19,16,-39,11
"307",17154,5,9,13,15,18,26,5,6,-11
"308",19001,1,8,11,26,28,31,4,19,-1
"309",18002,7,18,24,29,31,33,16,37,12
"310",18003,1,14,16,17,20,31,4,-43,-12
"311",18004,14,18,19,26,30,31,11,39,7
"312",18005,2,20,21,28,31,33,6,-3,-5
"313",18006,2,7,8,9,17,29,11,-63,5
"314",18007,13,14,20,25,27,31,12,58,1
"315",18008,5,9,10,12,17,19,13,-58,1
"316",18009,5,10,17,23,26,32,7,41,-6
"317",18010,1,8,17,20,21,22,3,-24,-4
"318",18011,3,10,21,23,27,33,11,28,8
"319",18012,11,12,13,19,26,28,12,-8,1
"320",18013,6,8,13,15,22,33,6,-12,-6
"321",18014,6,8,13,15,22,33,6,0,0
"322",18015,11,15,20,21,26,33,15,29,9
"323",18016,1,11,12,18,25,27,16,-32,1
"324",18017,8,12,21,22,27,31,9,27,-7
"325",18019,3,11,12,16,21,23,9,-35,0
"326",18020,6,9,10,14,28,30,5,11,-4
"327",18021,3,4,6,11,23,28,14,-22,9
"328",18022,5,7,20,22,30,32,10,41,-4
"329",18023,12,15,16,21,26,29,16,3,6
"330",18024,11,19,22,26,31,32,2,22,-14
"331",18025,4,13,16,19,21,25,14,-43,12
"332",18026,4,7,12,14,26,32,4,-3,-10
"333",18027,2,7,9,14,18,28,5,-17,1
"334",18028,3,8,11,14,18,23,16,-1,11
"335",18029,1,2,9,14,22,25,5,-4,-11
"336",18030,13,14,20,21,25,33,7,53,2
"337",18031,2,16,18,19,27,30,14,-14,7
"338",18032,21,22,23,24,25,32,6,35,-8
"339",18033,21,22,23,24,25,32,6,0,0
"340",18034,1,5,11,22,23,26,15,-59,9
"341",18035,7,10,11,17,23,28,15,8,0
"342",18036,8,17,24,26,28,33,4,40,-11
"343",18037,1,6,7,8,27,30,10,-57,6
"344",18038,15,23,24,25,28,29,9,65,-1
"345",18039,8,12,18,19,23,32,3,-32,-6
"346",18040,1,3,8,13,18,23,16,-46,13
"347",18041,7,8,20,23,24,32,13,48,-3
"348",18042,16,10,21,28,29,31,12,21,-1
"349",18043,1,4,6,8,21,24,7,-71,-5
"350",18044,5,9,12,17,27,30,6,36,-1
"351",18045,3,4,6,25,26,30,1,-6,-5
"352",18046,10,13,14,18,20,31,3,12,2
"353",17047,6,7,12,16,22,25,7,-18,4
"354",18048,1,12,20,25,30,31,2,31,-5
"355",18049,1,3,4,11,19,23,2,-58,0
"356",18050,1,2,4,10,18,19,7,-7,5
"357",18051,5,7,20,23,27,31,4,59,-3
"358",18052,3,5,6,9,15,32,14,-43,10
"359",18053,1,4,10,11,14,27,6,-3,-8
"360",18054,4,6,18,22,25,33,16,41,10
"361",18055,7,9,10,12,22,26,7,-22,-9
"362",18056,1,3,6,20,21,26,1,-9,-6
"363",18057,5,15,17,19,20,30,13,29,12
"364",18058,7,12,13,16,26,31,7,-1,-6
"365",18059,4,6,8,13,22,32,11,-20,4
"366",18060,4,8,13,25,30,31,10,26,-1
"367",18061,9,10,11,12,18,23,7,-28,-3
"368",18062,2,18,19,24,25,33,11,38,4
"369",18063,5,6,10,16,20,25,12,-39,1
"370",18064,2,5,10,11,17,21,5,-16,-7
"371",18065,1,4,6,14,28,33,1,20,-4
"372",18066,9,16,17,19,22,26,10,23,9
"373",18067,1,4,9,12,15,18,5,-50,-5
"374",18068,8,10,17,20,27,30,1,53,-4
"375",18069,6,13,17,19,23,31,12,-3,11
"376",18070,4,9,15,16,19,27,10,-19,-2
"377",18071,2,5,6,13,16,19,3,-29,-7
"378",18072,11,16,19,22,25,30,8,62,5
"379",18073,2,9,14,15,16,23,10,-44,2
"380",18074,9,11,14,20,27,30,9,32,-1
"381",18075,7,9,12,13,22,24,11,-24,2
"382",18076,3,7,8,15,29,30,13,5,2
"383",18077,2,5,9,15,20,24,10,-17,-3
"384",18078,3,10,14,17,18,30,12,17,2
"385",18079,14,15,17,22,24,29,13,29,1
"386",18080,4,7,13,20,29,33,3,-15,-10
"387",18081,1,2,12,16,20,26,3,-29,0
"388",18082,6,12,14,20,22,24,9,21,6
"389",18083,4,9,18,21,32,33,3,19,-6
"390",18084,5,6,8,12,22,24,3,-40,0
"391",18085,4,10,25,26,30,33,6,51,3
"392",18086,2,7,17,21,23,26,16,-32,10
"393",18087,1,5,10,16,18,31,3,-15,-13
"394",18088,3,5,12,29,30,32,14,30,11
"395",18089,6,9,12,14,18,27,14,-25,0
"396",18090,1,2,4,10,14,23,7,-32,-7
"397",18091,6,11,13,17,25,32,7,50,0
"398",18092,6,10,16,19,24,33,16,4,9
"399",18093,4,18,20,21,29,33,7,17,-9
"400",18094,4,7,16,20,24,30,5,-24,-2
"401",18095,10,11,12,21,26,33,9,12,4
"402",18096,1,5,9,20,28,32,12,-18,3
"403",18097,1,2,17,20,25,28,13,-2,1
"404",18098,6,10,11,20,29,32,13,15,0
"405",18099,3,7,8,14,25,32,6,-19,-7
"406",18100,2,11,14,15,29,33,2,15,-4
"407",18101,1,3,14,26,29,33,9,2,7
"408",18102,2,6,11,19,21,28,5,-19,-4
"409",18103,2,9,15,22,23,24,16,8,11
"410",18104,2,3,6,19,25,29,1,-11,-15
"411",18105,4,5,13,18,19,25,1,0,0
"412",18106,4,18,19,24,25,26,10,32,9
"413",18107,1,2,5,12,20,22,1,-54,-9
"414",18108,5,13,18,21,26,30,2,51,1
"415",18109,10,11,18,23,31,33,15,13,13
"416",18110,11,13,16,21,22,23,2,-20,-13
"417",18111,1,7,14,24,25,28,8,-7,6
"418",18112,5,8,18,25,26,31,4,14,-4
"419",18113,1,6,9,16,25,26,9,-30,5
"420",18114,1,7,15,16,20,27,14,3,5
"421",18115,1,13,19,24,26,29,11,26,-3
"422",18116,5,14,17,22,23,28,15,-3,4
"423",18117,8,11,15,17,23,25,5,-10,-10
"424",18118,8,12,21,22,27,31,9,22,4
"425",18119,3,13,14,16,25,27,12,-23,3
"426",18120,3,4,18,26,27,33,1,13,-11
"427",18121,6,8,14,19,23,25,11,-16,10
"428",18122,5,7,20,22,30,32,10,21,-1
"429",18123,13,21,24,27,31,32,1,32,-9
"430",18124,9,13,14,19,22,25,2,-46,1
"431",18125,3,10,11,14,15,32,2,-17,0
"432",18126,1,6,8,9,14,22,5,-25,3
"433",18127,2,5,6,7,11,15,12,-14,7
"434",18128,6,7,8,19,22,23,2,39,-10
"435",18129,2,4,6,16,18,19,16,-20,14
"436",18130,5,12,17,18,24,28,12,39,-4
"437",18131,21,22,24,31,32,33,1,59,-11
"438",18132,1,2,9,10,15,22,6,-104,5
"439",18133,2,4,11,12,18,32,13,20,7
"440",18134,3,16,18,31,32,33,12,54,-1
"441",18135,1,2,6,10,11,29,16,-74,4
"442",18136,10,12,15,25,26,27,14,56,-2
"443",18137,3,5,11,15,20,23,9,-38,-5
"444",18138,1,10,25,27,30,32,9,48,0
"445",18139,11,18,20,23,31,32,15,10,6
"446",18140,1,15,20,22,25,28,14,-24,-1
"447",18141,11,14,16,18,24,33,4,5,-10
"448",18142,5,8,10,11,27,28,11,-27,7
"449",18143,4,6,15,28,32,33,14,29,3
"450",18144,8,13,17,18,20,27,13,-15,-1
"451",18145,3,9,13,22,23,25,6,-8,-7
"452",18146,2,10,11,17,18,29,16,-8,10
"453",18147,3,15,17,23,27,30,11,28,-5
"454",18148,3,6,18,19,21,31,1,-17,-10
"455",18149,1,7,8,10,12,24,1,-36,0
"456",18150,6,8,15,19,20,31,5,37,4
"457",18151,5,15,19,25,26,29,15,20,10
"458",18152,4,14,16,23,28,29,3,-5,-12
"459",18153,1,7,17,23,25,31,11,-10,8
"460",19001,6,10,13,15,32,33,15,5,4
