"V1","V2","V3","V4"
"21002","Zero","1","0"
"21003","Zero","2","0"
"21004","Zero","0","0"
"21005","Zero","0","0"
"21006","Zero","1","0"
"21007","Zero","1","0"
"21008","Zero","0","0"
"21009","Sixth","1","1"
"21010","Zero","2","0"
"21011","Zero","1","0"
"21012","Zero","1","0"
"21013","Zero","0","0"
"21014","Zero","1","0"
"21015","Zero","2","0"
"21016","Zero","2","0"
"21017","Sixth","1","1"
"21018","Zero","1","0"
"21019","Zero","1","0"
"21020","Zero","1","0"
"21021","Zero","0","0"
"21022","Zero","1","0"
"21023","Zero","0","0"
"21024","Zero","1","0"
"21025","Fifth","4","0"
"21026","Zero","0","0"
"21027","Sixth","0","1"
"21028","Zero","2","0"
"21029","Zero","0","0"
"21030","Zero","2","0"
"21031","Zero","3","0"
"21032","Zero","0","0"
"21033","Zero","1","0"
"21034","Zero","0","0"
"21035","Zero","1","0"
"21036","Zero","0","0"
"21037","Zero","2","0"
"21038","Sixth","0","1"
"21039","Zero","1","0"
"21040","Zero","1","0"
"21041","Zero","3","0"
"21042","Zero","2","0"
"21043","Zero","1","0"
"21044","Zero","2","0"
"21045","Zero","0","0"
"21046","Zero","0","0"
"21047","Zero","1","0"
"21048","Zero","1","0"
"21049","Zero","2","0"
"21050","Fifth","3","1"
"21051","Zero","1","0"
"21052","Zero","1","0"
"21053","Zero","0","0"
"21054","Zero","1","0"
"21055","Zero","1","0"
"21056","Zero","1","0"
"21057","Zero","0","0"
"21058","Zero","1","0"
"21059","Zero","1","0"
"21060","Zero","3","0"
"21061","Zero","2","0"
"21062","Zero","1","0"
"21063","Zero","0","0"
"21064","Zero","2","0"
"21065","Zero","2","0"
"21066","Zero","1","0"
"21067","Zero","2","0"
"21068","Sixth","1","1"
"21069","Zero","1","0"
"21070","Sixth","0","1"
"21071","Zero","2","0"
"21072","Zero","3","0"
"21073","Zero","3","0"
"21074","Zero","2","0"
"21075","Zero","0","0"
"21076","Zero","2","0"
"21077","Zero","1","0"
"21078","Zero","0","0"
"21079","Zero","1","0"
"21080","Zero","1","0"
"21081","Zero","3","0"
"21082","Zero","2","0"
"21083","Zero","0","0"
"21084","Zero","1","0"
"21085","Zero","2","0"
"21086","Zero","3","0"
"21087","Zero","0","0"
"21088","Zero","1","0"
"21089","Zero","0","0"
"21090","Sixth","1","1"
"21091","Zero","0","0"
"21092","Zero","0","0"
"21093","Zero","2","0"
"21094","Zero","1","0"
"21095","Zero","0","0"
"21096","Zero","0","0"
"21097","Zero","1","0"
