"V1","V2","V3","V4","V5","V6","V7","V8"
17002,0,0,0,1,0,0,0
17003,0,0,0,0,0,0,0
17004,1,0,1,0,0,1,1
17005,0,1,0,0,0,1,0
17006,0,0,0,0,0,0,1
17007,1,0,0,0,0,0,0
17008,0,0,1,0,0,1,0
17009,0,1,1,0,0,0,0
17010,0,0,0,0,0,0,0
17011,0,0,0,0,1,1,0
17012,0,1,1,0,0,0,0
17013,0,1,0,0,0,0,0
17014,1,0,0,0,1,0,0
17015,0,1,0,0,0,0,0
17016,0,0,0,1,1,0,0
17017,0,0,1,1,0,0,0
17018,0,0,0,0,0,1,1
17019,1,0,1,0,0,0,0
17020,1,0,0,0,0,1,0
17021,0,0,0,1,0,0,1
17022,0,0,0,0,0,0,0
17023,0,0,0,0,0,0,0
17024,0,0,0,0,1,0,0
17025,0,0,0,0,0,0,0
17026,0,0,1,0,0,0,0
17027,0,0,0,0,1,0,0
17028,0,1,0,1,0,0,0
17029,0,0,1,0,0,1,0
17030,0,0,0,0,0,0,0
17031,0,0,0,0,1,0,0
17032,0,0,1,0,0,0,0
17033,0,0,0,0,1,0,0
17034,0,1,0,0,0,0,0
17035,0,0,1,0,0,0,0
17036,0,1,0,0,0,0,0
17037,0,0,0,0,0,0,0
17038,1,0,1,0,0,0,0
17039,0,0,0,0,0,0,0
17040,0,0,0,0,0,0,0
17041,0,0,1,0,0,0,0
17042,1,0,0,0,0,0,0
17043,0,0,0,0,0,1,0
17044,1,0,0,0,0,0,0
17045,0,0,0,1,1,0,0
17046,0,0,1,0,0,1,0
17047,0,0,0,0,0,0,0
17048,1,1,0,0,1,0,0
17049,0,0,0,1,0,0,0
17050,0,0,0,0,1,0,0
17051,0,0,0,0,0,0,0
17052,0,1,0,0,0,0,0
17053,0,0,0,0,1,1,0
17054,0,0,0,0,0,0,0
17055,1,0,0,0,0,0,0
17056,0,1,0,0,0,0,0
17057,0,0,0,0,0,0,0
17058,0,0,0,1,0,0,0
17059,0,0,0,0,0,0,1
17060,0,0,0,1,1,1,0
17061,0,0,0,0,1,0,1
17062,0,0,0,0,1,0,1
17063,0,0,1,0,0,0,1
17064,0,0,0,0,0,1,0
17065,0,1,0,1,1,0,0
17066,1,1,1,1,0,0,0
17067,1,0,0,0,0,1,0
17068,1,0,0,1,0,0,0
17069,0,0,0,0,1,0,0
17070,0,0,0,0,1,0,0
17071,0,0,0,0,0,0,0
17072,0,0,0,0,0,0,0
17073,1,0,1,0,1,0,0
17074,0,1,0,0,0,1,0
17075,0,0,0,1,0,0,0
17076,0,0,0,0,0,0,0
17077,0,0,0,0,0,0,0
17078,0,0,1,0,0,0,0
17079,0,1,0,0,0,0,0
17080,0,0,0,0,0,0,1
17081,0,0,0,0,0,0,1
17082,0,0,0,0,1,1,0
17083,0,0,0,0,1,0,0
17084,0,0,0,1,0,0,0
17085,0,0,0,0,1,0,0
17086,1,0,0,1,1,0,0
17087,0,0,0,0,0,0,0
17088,0,0,0,0,0,0,0
17089,0,0,0,1,0,0,0
17090,0,1,0,0,0,0,0
17091,1,1,0,0,1,1,0
17092,0,0,1,0,0,0,0
17093,0,1,0,0,1,0,0
17094,0,0,1,0,0,0,0
17095,0,0,0,1,0,1,0
17096,0,1,0,0,0,0,0
17097,1,1,0,0,0,0,0
17098,0,0,0,1,0,0,0
17099,1,0,0,0,0,1,0
17100,0,0,0,0,0,0,0
17101,0,0,0,0,0,0,0
17102,0,0,0,0,0,0,0
17103,0,0,0,0,0,1,0
17104,0,0,0,0,0,0,0
17105,1,0,0,0,1,1,0
17106,0,0,0,0,0,0,0
17107,0,0,0,0,0,0,0
17108,0,0,0,0,0,0,0
17109,0,0,1,0,0,0,0
17110,0,0,0,1,0,0,0
17111,0,0,0,0,0,1,0
17112,0,0,0,1,1,0,1
17113,0,0,0,0,0,1,0
17114,0,0,1,0,0,0,0
17115,0,0,0,0,0,0,0
17116,0,1,1,0,0,0,0
17117,0,1,0,1,0,0,0
17118,0,0,0,0,0,0,0
17119,0,0,0,0,0,1,0
17120,0,0,0,1,0,1,0
17121,0,0,1,0,0,0,0
17122,0,0,0,0,1,0,0
17123,0,0,0,0,0,0,1
17124,1,0,0,0,0,1,0
17125,0,1,1,0,0,0,0
17126,0,0,0,0,1,1,0
17127,0,0,0,0,0,0,1
17128,0,0,1,0,0,0,0
17129,0,1,0,0,0,0,0
17130,0,0,1,0,0,0,0
17131,0,1,0,0,0,0,0
17132,1,0,1,0,0,0,0
17133,0,0,0,0,0,0,0
17134,1,0,0,0,0,0,0
17135,0,0,0,0,0,0,0
17136,1,0,0,1,0,0,0
17137,1,1,0,1,0,0,0
17138,0,0,0,1,0,0,0
17139,0,0,0,0,0,0,0
17140,0,0,0,0,1,0,1
17141,0,0,1,0,0,0,0
17142,0,0,0,1,0,0,1
17143,0,1,0,0,0,0,0
17144,0,0,1,0,0,0,0
17145,0,0,1,0,1,1,0
17146,0,0,0,0,0,0,0
17147,0,0,0,0,0,1,0
17148,1,1,0,0,0,0,0
17149,0,1,0,0,0,1,0
17150,0,0,0,1,0,0,0
17151,0,0,0,0,0,0,0
17152,0,0,0,0,1,0,0
17153,0,0,0,0,0,0,0
17154,0,1,0,0,0,0,0
18002,0,0,0,0,0,0,0
18003,0,0,1,0,0,0,0
18004,0,0,0,0,0,0,0
18005,0,0,0,0,0,0,0
18006,1,0,0,1,0,0,0
18007,0,0,0,1,0,0,0
18008,1,0,1,0,0,0,0
18009,1,0,0,0,0,0,0
18010,0,0,0,0,0,0,0
18011,0,0,0,0,0,0,1
18012,0,0,1,1,0,1,0
18013,0,1,0,0,0,0,0
18014,0,0,1,0,0,0,0
18015,0,0,0,1,0,0,0
18016,0,0,1,0,0,1,0
18017,0,0,0,1,1,0,0
18018,0,0,0,1,1,0,0
18019,0,0,1,0,0,0,0
18020,0,0,0,0,0,0,0
18021,0,0,0,0,0,0,0
18022,1,0,0,0,1,0,0
18023,0,0,0,0,0,0,0
18024,0,0,0,1,1,0,0
18025,0,0,0,0,0,0,0
18026,0,0,0,0,0,0,0
18027,0,0,0,0,0,1,0
18028,0,1,0,0,0,0,0
18029,0,0,0,1,0,0,0
18030,0,0,0,0,0,0,0
18031,0,0,0,1,0,0,0
18032,0,0,0,0,1,0,1
18033,0,0,0,0,0,0,0
18034,0,0,0,0,0,0,0
18035,0,0,0,0,0,0,0
18036,0,0,0,0,0,0,0
18037,1,0,0,0,0,0,0
18038,0,0,0,1,1,1,0
18039,0,0,1,0,0,0,0
18040,0,0,0,0,1,0,0
18041,0,0,0,0,1,0,0
18042,0,1,0,0,0,0,0
18043,1,0,0,0,0,0,0
18044,1,0,0,0,0,0,0
18045,0,0,0,0,1,1,0
18046,0,0,1,1,0,0,0
18047,0,0,1,0,0,0,1
18048,0,1,0,0,0,0,0
18049,0,0,0,0,0,0,0
18050,0,0,0,0,0,0,1
18051,1,0,0,0,0,1,0
18052,0,0,1,0,0,0,0
18053,1,0,1,0,0,0,1
18054,1,0,0,0,0,0,0
18055,0,1,0,0,0,1,1
18056,0,0,0,0,0,0,0
18057,0,0,0,0,0,0,0
18058,0,1,0,0,1,0,0
18059,0,0,1,0,0,0,0
18060,0,1,0,0,0,0,0
18061,0,0,0,0,0,0,0
18062,0,0,0,0,0,0,0
18063,0,1,0,1,0,0,0
18064,0,0,0,0,0,0,0
18065,0,0,0,0,0,0,0
18066,0,0,1,0,0,0,0
18067,0,0,1,0,0,0,1
18068,0,0,0,0,0,0,0
18069,0,0,0,0,0,0,0
18070,0,0,1,1,1,0,0
18071,0,1,0,1,0,0,0
18072,0,0,0,0,0,1,1
18073,0,0,0,0,0,0,1
18074,0,0,0,0,0,0,0
18075,0,0,0,0,0,0,0
18076,1,0,0,0,0,0,0
18077,1,1,0,0,0,0,0
18078,0,1,1,1,0,0,0
18079,0,0,0,0,1,1,0
18080,1,0,1,0,0,0,0
18081,0,0,0,0,0,0,0
18082,0,0,0,0,0,0,0
18083,1,0,0,0,0,0,0
18084,1,0,0,0,1,0,0
18085,0,1,0,1,1,1,0
18086,1,0,0,0,0,0,0
18087,1,1,1,0,0,0,0
18088,1,0,0,0,0,1,0
18089,1,0,0,0,0,0,0
18090,1,1,0,0,0,0,0
18091,0,1,0,0,0,0,1
18092,0,0,0,1,0,0,0
18093,0,0,0,1,0,0,0
18094,0,1,0,0,1,0,0
18095,0,1,0,0,0,0,0
18096,1,0,0,0,0,0,0
18097,0,0,0,0,0,1,0
18098,0,0,0,0,0,1,0
18099,0,0,1,0,0,0,1
18100,0,0,0,0,0,0,0
18101,0,0,0,0,0,0,0
18102,0,0,0,0,0,1,0
18103,0,0,1,0,0,0,0
18104,1,0,0,0,1,1,0
18105,1,0,0,1,1,0,0
18106,0,0,0,1,1,1,0
18107,0,0,0,1,0,0,0
18108,0,0,1,0,0,0,0
18109,0,0,1,0,0,0,0
18110,0,1,0,0,0,0,0
18111,0,0,0,0,1,1,0
18112,0,0,0,1,0,1,0
18113,0,1,1,0,0,0,0
18114,0,0,0,0,0,0,0
18115,0,0,0,0,1,0,1
18116,0,0,0,0,0,0,0
18117,0,0,0,0,0,0,0
18118,0,0,0,1,0,0,0
18119,0,0,0,0,0,0,0
18120,0,0,0,0,0,1,0
18121,0,0,0,0,1,0,0
18122,0,0,0,0,0,0,1
18123,0,0,0,0,0,0,0
18124,0,0,0,0,0,0,0
18125,0,0,1,0,0,0,0
18126,0,0,0,0,0,0,1
18127,1,0,1,0,0,0,0
18128,0,0,0,0,0,0,0
18129,0,0,0,0,0,0,0
18130,0,0,1,0,1,0,0
18131,0,0,0,1,1,0,0
18132,0,0,1,0,0,0,0
18133,1,0,0,0,0,0,0
18134,1,0,0,0,0,0,0
18135,0,0,0,0,0,1,0
18136,0,1,0,0,0,0,0
18137,1,0,0,0,0,0,0
18138,0,0,0,0,0,0,0
18139,0,1,0,1,0,0,0
18140,0,0,0,0,0,0,0
18141,0,0,0,0,0,0,0
18142,1,0,0,0,0,0,0
18143,0,0,0,0,0,0,0
18144,0,0,1,0,0,0,0
18145,0,0,0,1,0,0,0
18146,1,1,1,1,0,0,0
18147,0,0,0,1,0,0,0
18148,1,0,0,1,0,0,0
18149,1,1,0,0,0,0,0
18150,1,0,0,0,0,0,1
18151,0,0,0,0,1,0,0
18152,0,0,1,0,0,0,0
18153,0,0,0,0,0,0,0
19002,1,0,0,1,0,0,0
19003,0,0,0,0,1,1,0
19004,0,0,0,0,0,0,0
19005,0,0,0,0,0,1,0
19006,1,0,0,0,1,0,1
19007,0,1,0,0,0,0,0
19008,0,0,1,0,0,0,0
19009,0,0,0,0,0,0,0
19010,0,1,1,0,0,0,0
19011,0,0,1,0,1,1,0
19012,0,0,0,1,0,0,0
19013,0,1,0,0,1,0,0
19014,0,0,0,0,0,0,0
19015,0,1,0,0,0,0,0
19016,0,0,0,0,1,1,0
19017,1,0,0,0,0,0,1
19018,0,1,0,0,0,1,0
19019,0,0,0,0,0,0,0
19020,1,1,0,0,0,0,1
19021,0,0,0,0,0,0,0
19022,0,0,0,0,0,1,0
19023,0,0,0,0,0,0,0
19024,0,0,0,0,0,0,0
19025,0,0,0,0,0,0,0
19026,0,0,0,1,0,0,0
19027,0,0,1,0,0,0,1
19028,0,0,0,1,0,1,0
19029,0,0,0,0,1,0,0
19030,1,1,0,1,0,0,0
19031,0,0,1,0,0,0,0
19032,1,0,0,0,0,1,0
19033,0,0,0,0,1,0,0
19034,0,1,0,0,0,0,0
19035,0,1,0,0,0,0,0
19036,0,0,0,0,0,0,0
19037,0,0,1,0,1,0,0
19038,0,0,1,0,0,1,0
19039,1,1,0,0,0,0,0
19040,1,0,0,1,0,0,0
19041,0,0,0,0,1,0,0
