"V1","V2","V3","V4","V5","V6","V7","V8"
15002,0,0,0,0,0,1,0
15003,0,0,0,0,1,0,0
15004,0,0,0,0,0,0,1
15005,0,1,0,0,0,0,0
15006,0,0,1,0,0,0,0
15007,0,0,0,0,0,0,0
15008,1,1,1,0,1,0,0
15009,0,1,0,0,0,1,0
15010,0,1,0,0,0,0,0
15011,1,0,1,0,0,0,0
15012,1,1,1,0,0,1,0
15013,0,1,0,0,0,1,0
15014,0,0,0,0,0,0,0
15015,0,0,0,1,1,0,0
15016,0,0,0,0,0,0,0
15017,0,0,1,0,0,1,0
15018,0,0,0,0,0,0,0
15019,0,0,0,1,0,0,0
15020,0,0,0,0,0,1,0
15021,0,0,1,0,1,0,0
15022,1,0,0,0,0,0,0
15023,0,1,1,0,0,0,0
15024,0,1,0,0,0,0,0
15025,0,1,1,1,0,1,0
15026,0,0,1,1,0,0,0
15027,0,1,0,0,0,1,0
15028,1,1,0,0,0,1,1
15029,0,1,1,1,0,0,0
15030,0,0,1,0,0,0,0
15031,0,0,0,0,0,0,0
15032,0,0,1,0,0,0,0
15033,0,0,0,0,0,0,0
15034,0,0,0,1,0,1,0
15035,0,0,0,0,1,0,0
15036,0,0,0,0,0,1,0
15037,0,0,0,0,0,0,0
15038,0,0,1,0,0,0,0
15039,0,0,0,0,0,1,0
15040,0,0,0,1,1,1,0
15041,0,0,0,0,0,0,0
15042,0,0,0,1,0,0,1
15043,0,0,1,0,1,0,0
15044,1,0,0,0,0,0,0
15045,0,0,0,0,0,0,0
15046,0,0,0,0,0,0,0
15047,0,0,0,0,1,1,0
15048,0,0,1,0,1,1,0
15049,0,0,0,0,0,0,0
15050,0,1,0,0,0,0,0
15051,1,0,0,0,0,1,0
15052,1,0,0,0,0,1,0
15053,0,0,0,0,0,0,0
15054,0,0,0,0,0,0,0
15055,0,0,0,1,1,0,0
15056,0,0,0,1,0,0,0
15057,0,0,0,0,1,0,0
15058,0,0,0,1,0,0,0
15059,1,0,0,0,0,0,0
15060,0,0,0,1,0,0,0
15061,0,0,0,0,0,0,0
15062,0,0,0,1,0,0,0
15063,0,1,0,0,0,0,0
15064,0,0,1,0,0,0,0
15065,0,0,0,0,0,0,0
15066,0,0,0,0,1,0,0
15067,1,0,0,0,0,0,0
15068,0,0,0,0,0,0,0
15069,0,0,1,1,0,0,0
15070,0,0,0,1,0,0,0
15071,0,0,0,0,0,1,0
15072,0,0,0,1,0,1,0
15073,0,0,0,0,1,0,0
15074,0,1,0,1,0,0,0
15075,0,1,0,0,0,0,1
15076,1,0,0,0,0,1,0
15077,0,0,0,0,0,1,0
15078,0,0,0,1,0,0,0
15079,0,0,0,0,0,1,0
15080,0,0,0,0,0,0,0
15081,0,0,0,0,0,1,0
15082,1,0,0,0,0,0,0
15083,0,1,0,0,0,0,0
15084,0,0,0,1,1,0,0
15085,0,0,0,0,0,1,0
15086,0,0,0,1,0,0,0
15087,0,0,0,0,0,1,0
15088,0,0,0,0,0,1,1
15089,0,0,0,0,0,0,0
15090,0,0,1,0,0,0,0
15091,1,0,0,0,0,1,0
15092,0,0,1,1,0,0,0
15093,0,0,0,1,0,1,0
15094,0,0,0,0,0,0,0
15095,1,1,0,0,0,1,0
15096,0,0,0,0,0,0,0
15097,0,0,1,0,0,1,0
15098,0,0,0,0,0,0,0
15099,1,1,0,0,0,0,0
15100,0,0,0,1,0,0,0
15101,0,0,0,0,0,0,0
15102,0,0,1,1,0,0,0
15103,0,0,0,0,0,1,0
15104,0,0,0,0,1,0,0
15105,0,1,1,0,0,0,0
15106,0,0,0,0,1,1,0
15107,0,1,1,0,1,0,0
15108,0,0,0,0,0,0,0
15109,0,1,0,0,0,0,0
15110,0,0,0,0,0,0,0
15111,0,1,1,0,0,0,0
15112,0,0,0,0,0,0,0
15113,0,0,1,0,0,0,0
15114,0,0,0,0,0,0,0
15115,0,0,0,0,0,0,0
15116,0,0,0,0,0,1,1
15117,1,0,0,0,0,0,0
15118,0,0,0,0,0,0,0
15119,0,1,0,0,0,0,0
15120,0,0,0,0,1,1,0
15121,1,0,0,1,0,1,0
15122,1,1,0,0,0,0,0
15123,1,0,0,0,0,0,0
15124,0,0,0,0,0,0,0
15125,1,1,1,0,0,1,1
15126,0,0,0,0,0,1,0
15127,0,0,0,0,0,1,0
15128,0,0,0,0,0,0,0
15129,1,0,0,0,1,0,0
15130,0,1,0,0,0,0,0
15131,0,0,1,1,1,0,0
15132,0,0,0,0,0,0,0
15133,0,0,0,1,0,0,0
15134,1,0,0,0,0,0,0
15135,0,0,0,0,0,0,0
15136,0,0,0,0,0,1,0
15137,0,0,0,0,1,0,0
15138,0,1,0,0,0,0,0
15139,1,0,1,0,0,0,0
15140,0,0,0,0,0,0,0
15141,1,0,0,0,1,0,0
15142,0,0,0,1,1,0,0
15143,0,0,1,0,0,0,0
15144,1,0,1,0,0,0,0
15145,0,1,0,1,0,0,0
15146,0,0,1,1,0,0,0
15147,0,0,0,0,0,0,0
15148,0,0,0,0,1,0,0
15149,0,0,0,1,0,0,0
15150,0,0,0,0,0,0,0
15151,0,0,0,0,1,0,0
15152,0,0,0,0,0,0,0
15153,0,0,0,1,0,0,0
15154,0,0,0,0,0,0,0
16002,1,0,0,0,0,0,0
16003,0,0,1,0,0,0,0
16004,0,0,1,0,1,1,0
16005,0,0,0,1,0,1,0
16006,0,0,0,0,1,0,0
16007,0,0,0,1,0,0,0
16008,0,0,0,0,0,1,0
16009,0,0,0,0,1,0,0
16010,0,0,0,0,0,0,0
16011,0,0,0,1,0,0,0
16012,0,0,1,0,0,0,0
16013,0,1,0,0,0,0,0
16014,1,1,0,1,1,0,0
16015,1,0,0,1,1,0,0
16016,0,0,0,0,1,0,0
16017,0,0,0,0,0,0,0
16018,0,1,0,0,0,0,0
16019,0,0,0,0,0,1,0
16020,0,0,1,0,1,0,1
16021,0,0,0,0,0,0,0
16022,0,0,0,0,0,0,0
16023,0,0,1,0,0,0,0
16024,0,0,1,0,0,0,0
16025,0,0,0,0,0,0,0
16026,1,1,1,0,0,1,0
16027,0,0,1,1,1,0,0
16028,0,1,0,1,0,0,0
16029,0,0,1,0,0,0,0
16030,0,0,0,1,1,0,0
16031,0,1,0,0,0,0,0
16032,0,0,1,0,0,0,0
16033,0,0,0,0,0,0,0
16034,0,0,0,1,0,0,0
16035,0,0,0,0,0,0,0
16036,0,0,0,1,0,0,0
16037,0,1,0,0,0,0,0
16038,0,1,0,0,0,1,0
16039,1,0,0,0,0,0,0
16040,0,0,1,1,0,0,0
16041,0,0,1,1,1,0,0
16042,0,0,1,0,0,0,0
16043,0,0,0,0,0,1,0
16044,0,0,0,0,0,0,0
16045,0,1,0,0,0,1,0
16046,0,0,0,0,0,1,0
16047,1,0,0,0,0,0,0
16048,0,0,0,0,0,0,0
16049,0,0,0,0,1,0,0
16050,0,0,0,0,0,1,0
16051,0,0,0,0,0,0,0
16052,0,1,0,0,0,0,0
16053,1,0,1,0,0,1,0
16054,0,0,1,0,0,1,0
16055,0,0,0,0,0,0,0
16056,1,0,1,0,0,0,0
16057,0,0,0,0,0,0,0
16058,0,0,0,0,0,0,0
16059,1,0,0,1,0,1,0
16060,0,0,0,0,1,0,0
16061,0,0,0,0,0,0,0
16062,0,0,1,1,0,0,0
16063,0,0,0,0,0,1,0
16064,0,0,1,1,1,0,0
16065,0,0,0,1,1,0,0
16066,0,1,0,0,0,0,0
16067,0,0,1,0,0,0,0
16068,0,0,0,0,1,0,0
16069,0,0,0,1,0,0,0
16070,0,0,0,0,0,1,0
16071,0,0,0,0,1,0,0
16072,0,0,0,0,0,0,0
16073,0,0,1,1,0,0,0
16074,0,0,1,0,1,0,0
16075,0,0,0,0,0,0,0
16076,0,1,0,0,0,0,0
16077,0,0,1,0,1,0,0
16078,1,0,0,0,0,0,0
16079,0,0,1,0,0,0,0
16080,0,0,0,0,0,0,0
16081,1,0,0,0,0,0,0
16082,0,0,1,1,0,0,0
16083,0,0,0,1,0,0,0
16084,0,1,0,0,1,0,0
16085,0,0,0,0,1,0,0
16086,0,1,0,0,0,0,0
16087,0,0,0,0,0,0,0
16088,0,0,0,0,0,1,0
16089,0,0,0,0,0,0,0
16090,0,0,0,1,0,0,0
16091,1,0,0,0,0,1,0
16092,0,0,0,0,0,0,0
16093,0,0,1,1,0,0,0
16094,1,0,0,0,0,0,0
16095,0,1,0,0,0,0,0
16096,1,0,1,0,0,0,0
16097,1,0,0,0,0,0,0
16098,0,0,0,0,0,0,0
16099,0,0,0,0,1,0,0
16100,0,0,0,0,0,1,0
16101,0,0,0,0,0,0,0
16102,1,0,0,0,0,0,1
16103,0,0,0,1,1,0,0
16104,0,0,1,0,0,0,0
16105,0,1,0,0,0,1,0
16106,1,0,0,0,0,0,0
16107,0,1,0,0,1,1,0
16108,1,0,0,0,0,0,0
16109,0,1,1,0,0,0,0
16110,0,1,0,0,0,0,0
16111,1,0,0,0,0,1,0
16112,0,0,1,0,0,0,0
16113,0,0,0,0,0,0,0
16114,0,0,0,0,0,1,0
16115,0,1,0,0,0,0,0
16116,0,1,0,1,0,0,0
16117,1,1,0,0,0,0,0
16118,0,0,0,0,1,0,0
16119,0,0,0,0,0,0,0
16120,0,0,0,1,0,1,0
16121,0,0,0,0,1,1,0
16122,0,0,0,1,1,1,0
16123,0,1,0,0,0,0,0
16124,0,0,0,1,0,0,0
16125,0,1,1,0,0,0,0
16126,1,0,1,0,0,0,0
16127,1,0,0,0,0,0,0
16128,0,0,0,0,1,0,0
16129,0,0,0,1,0,1,0
16130,0,0,1,0,0,0,0
16131,0,0,1,1,0,1,0
16132,0,0,0,0,0,0,1
16133,0,0,0,0,1,1,0
16134,0,1,0,0,0,0,0
16135,1,0,0,0,0,0,0
16136,0,0,0,0,0,1,0
16137,0,0,1,0,0,0,0
16138,0,1,0,0,1,1,0
16139,0,0,0,0,1,0,0
16140,0,0,0,0,0,0,0
16141,0,0,1,0,1,0,0
16142,0,0,0,1,0,0,0
16143,0,0,0,0,1,0,0
16144,0,1,0,0,0,0,0
16145,0,0,0,0,0,0,0
16146,0,0,1,1,0,0,0
16147,1,0,0,0,0,0,0
16148,0,0,0,0,1,0,0
16149,0,0,0,1,1,0,0
16150,0,0,1,0,0,0,0
16151,0,1,1,1,0,0,0
16152,1,1,0,0,0,0,0
16153,0,0,1,0,0,0,0
17002,0,0,0,0,0,1,0
17003,1,0,0,0,0,0,0
17004,0,0,1,0,0,0,0
17005,1,0,1,0,0,0,0
17006,1,0,0,0,0,0,0
17007,0,0,0,1,0,0,0
17008,0,1,0,0,0,0,0
17009,1,0,0,0,0,0,0
17010,1,0,0,0,0,1,0
17011,0,0,0,0,1,0,0
17012,0,0,1,0,1,0,0
17013,0,0,0,0,0,0,0
17014,0,0,0,0,0,0,0
17015,0,0,0,0,0,0,0
17016,0,0,1,0,0,1,0
17017,0,0,0,0,0,0,0
17018,1,0,1,0,0,0,0
17019,1,1,1,0,0,0,0
17020,1,1,1,0,0,0,0
17021,0,0,0,0,0,0,1
17022,0,0,1,0,0,0,0
17023,0,0,0,1,0,0,0
17024,0,1,0,0,0,1,0
17025,0,0,0,1,0,0,0
17026,0,0,1,0,0,0,0
17027,0,0,0,0,0,0,0
17028,0,1,1,0,0,1,1
17029,0,0,1,0,1,0,0
17030,0,0,0,0,1,1,0
17031,0,0,1,0,0,0,0
17032,1,1,0,0,0,0,0
17033,0,0,0,1,0,0,0
17034,1,1,0,0,0,0,0
17035,0,0,0,1,1,0,0
17036,1,0,1,0,0,0,0
17037,0,0,0,0,0,1,1
17038,1,0,1,0,0,0,0
17039,0,0,1,1,0,0,0
17040,0,0,0,1,0,0,0
17041,0,0,1,1,0,0,0
17042,0,0,0,0,0,0,0
17043,0,0,0,0,0,0,0
17044,0,1,0,1,0,0,0
17045,0,0,0,0,0,0,0
17046,0,1,0,0,0,1,0
17047,0,0,0,0,0,0,0
17048,0,0,0,0,0,0,0
17049,0,0,0,0,0,0,1
17050,0,1,0,0,0,0,0
17051,1,0,0,0,1,0,0
17052,0,0,0,1,0,0,0
