"V1","V2","V3","V4","V5","V6","V7","V8"
6002,0,0,0,0,0,0,0
6003,1,0,0,0,0,0,1
6004,0,0,0,1,0,0,0
6005,0,0,0,0,0,1,0
6006,0,0,1,1,0,0,0
6007,0,0,0,0,0,1,0
6008,1,0,0,0,0,0,0
6009,0,1,0,0,0,0,0
6010,0,0,0,0,0,1,0
6011,0,0,1,0,1,1,0
6012,0,0,0,0,0,0,0
6013,1,1,0,0,0,0,1
6014,0,0,0,0,0,0,0
6015,0,0,0,0,0,0,0
6016,0,1,0,0,0,1,0
6017,0,0,0,0,0,1,0
6018,0,0,0,1,1,0,0
6019,0,0,0,0,0,1,0
6020,0,0,0,1,0,0,0
6021,1,0,0,0,0,0,0
6022,1,0,0,0,0,1,0
6023,0,0,0,0,0,0,0
6024,0,0,0,1,0,0,0
6025,0,0,0,0,0,0,0
6026,0,0,0,0,0,0,0
6027,0,1,0,0,0,0,0
6028,0,0,0,0,0,0,0
6029,0,0,0,0,0,0,0
6030,0,0,0,1,0,0,0
6031,1,0,1,0,0,1,0
6032,1,0,0,0,0,0,0
6033,0,0,0,0,1,1,0
6034,0,0,0,0,0,0,0
6035,1,0,0,0,0,0,0
6036,0,1,1,0,0,0,1
6037,0,0,0,0,0,0,0
6038,0,0,0,0,1,0,0
6039,0,0,0,0,0,1,0
6040,0,0,0,0,0,0,0
6041,1,1,0,1,0,0,0
6042,1,0,1,0,0,0,0
6043,0,0,1,0,0,0,0
6044,0,0,1,0,0,1,0
6045,0,0,0,0,0,0,0
6046,0,0,0,0,0,1,0
6047,0,0,0,1,0,1,0
6048,0,0,0,0,0,0,0
6049,0,0,1,1,0,0,0
6050,0,0,0,0,1,0,0
6051,1,1,1,0,0,0,0
6052,0,0,0,0,0,1,0
6053,0,0,0,0,0,0,0
6054,0,0,0,0,0,0,0
6055,1,0,0,0,1,0,0
6056,0,0,0,0,1,0,0
6057,0,0,0,1,0,0,0
6058,0,0,0,1,1,1,0
6059,0,0,0,0,0,0,1
6060,1,0,1,0,1,0,0
6061,0,0,0,0,0,0,0
6062,0,0,0,1,1,0,0
6063,0,0,0,0,1,0,0
6064,0,0,0,0,0,0,0
6065,0,0,0,0,0,0,0
6066,0,1,0,0,0,0,0
6067,0,0,1,0,0,0,0
6068,0,0,0,0,0,1,0
6069,0,0,0,0,0,0,0
6070,0,1,0,0,0,0,0
6071,0,0,0,0,0,0,0
6072,0,0,0,0,1,0,0
