"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"21002","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21003","Zero","2","0","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE"
"21004","Zero","2","0","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE"
"21005","Zero","2","0","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE"
"21006","Zero","1","0","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"21007","Zero","2","0","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE"
"21008","Zero","1","0","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"21009","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21010","Zero","1","0","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"21011","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21012","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21013","Zero","1","0","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"21014","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21015","Zero","1","0","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"21016","Zero","1","0","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"21017","Zero","2","0","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"
"21018","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21019","Zero","2","0","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE"
"21020","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21021","Zero","1","0","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"21022","Zero","1","0","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE"
"21023","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21024","Zero","2","0","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE"
"21025","Zero","1","0","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE"
"21026","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21027","Zero","1","0","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"21028","Zero","1","0","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"21029","Zero","1","0","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21030","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21031","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21032","Zero","2","0","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE"
"21033","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21034","Zero","1","0","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"21035","Zero","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21036","Zero","2","0","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"
"21037","Zero","1","0","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"21038","Zero","1","0","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
