"n","a1","a2","a3","a4","a5","a6","b1"
20002,8,10,12,16,17,29,5
20003,4,8,13,16,20,24,6
20004,3,11,16,21,24,24,6
20005,3,14,15,17,18,32,4
20006,7,10,14,19,25,32,10
20007,3,5,10,13,27,30,6
20008,6,9,17,22,24,33,6
20009,5,14,19,20,23,28,12
20010,5,8,11,24,27,32,8
20011,5,10,12,20,22,30,10
20012,3,12,15,16,26,29,10
20013,4,7,17,18,28,30,4
20014,2,12,14,15,22,30,8
20015,7,10,16,16,26,31,8
20016,4,10,16,23,24,31,9
20017,3,12,16,21,22,25,11
20018,4,10,16,17,28,31,8
20019,6,11,17,20,24,29,10
20020,5,10,12,14,23,28,8
20021,1,10,13,17,22,30,9
20022,3,16,17,22,22,30,7
20023,6,11,12,22,25,25,7
20024,3,13,18,18,24,29,12
20025,3,8,10,15,23,29,6
20026,4,9,11,16,17,27,-2
20027,2,10,11,12,19,25,5
20028,5,8,15,15,25,30,7
20029,4,9,13,21,30,32,7
20030,3,6,12,20,22,32,3
20031,1,8,14,15,26,31,9
20032,5,6,13,19,24,27,3
20033,2,10,14,19,19,27,11
20034,5,10,17,19,24,31,5
20035,7,9,15,23,23,30,12
20036,6,9,16,18,28,29,9
20037,6,8,12,17,24,29,10
20038,4,8,14,21,22,31,6
20039,5,7,12,20,25,30,7
20040,3,12,13,17,31,31,6
20041,5,7,9,13,21,28,9
20042,3,10,16,22,25,27,9
20043,5,10,14,19,21,28,6
20044,5,6,13,17,24,28,13
20045,7,11,17,19,26,28,7
20046,6,10,22,24,24,30,7
20047,2,10,11,23,24,25,6
20048,3,9,11,12,19,30,5
20049,3,10,15,20,21,29,7
20050,4,6,13,16,24,26,5
20051,4,9,20,23,25,27,7
20052,3,9,14,18,27,28,6
20053,6,12,14,22,23,33,9
20054,4,7,8,20,23,29,7
20055,2,12,14,19,21,27,7
20056,4,10,13,19,25,25,11
20057,4,10,18,19,25,26,6
20058,4,10,16,18,21,30,6
20059,5,8,11,18,26,31,7
20060,5,14,14,16,23,31,5
20061,4,14,15,18,21,29,5
20062,4,11,14,15,25,28,5
20063,8,9,15,22,23,30,9
20064,4,6,15,17,25,29,11
20065,5,8,17,20,20,26,5
20066,6,13,16,18,25,26,7
20067,4,12,13,20,26,30,4
20068,6,10,17,23,28,28,8
20069,4,4,10,15,21,30,12
20070,8,9,14,18,25,29,6
20071,5,14,16,20,21,32,5
20072,4,8,18,19,24,29,8
20073,2,9,14,21,26,28,8
20074,5,5,15,20,26,29,11
20075,2,11,17,24,24,32,8
20076,3,7,18,18,21,28,9
20077,3,10,14,19,23,30,8
20078,2,12,13,18,23,28,6
20079,5,10,11,13,22,30,10
20080,7,9,14,17,19,26,5
20081,4,7,13,19,21,24,9
20082,5,8,14,18,27,30,7
20083,4,9,12,19,28,30,6
20084,5,6,11,17,23,27,5
20085,6,9,13,23,25,26,5
20086,3,11,13,22,26,30,5
20087,4,11,18,22,24,29,9
20088,3,11,14,16,26,30,8
20089,6,9,12,21,27,29,3
20090,3,7,11,18,22,32,8
20091,3,12,14,15,24,28,6
20092,9,9,10,22,25,27,5
20093,6,11,12,17,19,29,14
20094,2,12,18,21,26,28,4
20095,7,9,17,17,25,31,9
20096,1,11,13,14,26,31,8
20097,4,13,16,21,22,27,6
20098,3,12,15,17,26,26,8
20099,5,9,10,16,20,31,7
20100,5,6,16,20,27,27,8
20101,7,9,13,16,22,29,4
20102,3,10,15,17,18,28,9
20103,3,8,12,12,28,28,5
20104,6,10,13,15,22,30,9
20105,2,5,11,16,20,30,9
20106,5,9,13,15,24,27,8
20107,2,8,14,18,24,28,7
20108,5,9,14,14,24,26,8
20109,3,8,17,18,25,34,11
20110,4,9,18,20,25,25,2
20111,4,9,13,22,22,30,10
20112,6,10,15,21,26,32,9
20113,3,10,12,19,23,28,10
20114,2,10,19,20,21,33,10
20115,9,12,15,15,20,30,11
20116,3,7,11,12,26,31,8
20117,3,8,12,18,22,29,7
20118,5,10,14,21,24,27,8
20119,2,10,18,21,25,28,5
20120,5,9,15,16,19,30,10
20121,7,9,14,16,16,28,11
20122,5,8,10,12,19,21,6
20123,6,12,12,15,18,26,10
20124,5,12,12,17,22,23,8
20125,3,6,18,20,24,32,9
20126,4,4,17,19,21,31,11
20127,4,7,16,25,26,28,15
20128,4,11,16,23,23,30,6
20129,8,9,9,18,22,28,2
20130,3,13,16,20,26,28,9
20131,2,12,13,18,20,31,11
20132,3,8,14,16,17,25,11
20133,4,12,12,15,22,28,5
20134,3,5,8,19,23,31,2
20135,3,15,19,20,27,32,7
21002,4,10,13,18,21,30,8
21003,3,6,10,18,27,30,6
21004,5,10,16,19,23,26,11
21005,6,13,16,22,24,29,3
21006,5,10,11,16,20,23,8
21007,5,8,19,19,22,30,10
21008,10,10,13,16,23,23,5
21009,2,11,13,19,21,26,10
21010,4,13,17,18,28,30,6
21011,6,7,12,14,22,29,13
21012,1,13,14,16,25,29,4
21013,4,10,11,21,25,29,11
21014,4,12,16,21,21,28,6
21015,2,6,12,18,24,24,7
21016,1,9,13,18,22,30,12
21017,4,10,16,17,25,25,8
21018,1,6,12,17,23,27,4
21019,5,9,15,22,26,31,5
21020,3,11,16,19,22,31,7
21021,2,10,12,15,22,29,11
21022,4,9,11,14,26,26,7
21023,4,13,14,19,22,30,11
21024,7,12,17,17,20,26,9
21025,4,8,14,24,26,32,12
21026,7,9,13,20,30,31,4
21027,4,9,13,17,24,28,10
21028,9,10,13,23,24,28,9
21029,1,14,14,17,24,29,11
21030,1,8,11,16,20,25,2
21031,3,6,10,18,25,27,13
21032,6,11,14,17,27,27,6
21033,6,8,13,20,29,32,9
21034,3,18,19,22,22,31,8
21035,2,7,10,19,23,29,5
21036,5,10,11,18,21,26,8
21037,4,14,14,22,24,26,9
21038,4,7,13,21,25,28,10
