"V1","V2","V3","V4","V5","V6","V7","V8"
"19002","5","8","10","12","18","28","6"
"19003","4","8","13","19","22","29","10"
"19004","3","9","13","20","21","25","7"
"19005","2","12","14","16","21","29","8"
"19006","5","9","10","20","24","26","10"
"19007","4","8","15","20","25","30","7"
"19008","10","10","13","18","24","30","12"
"19009","7","8","15","17","24","30","10"
"19010","4","11","13","21","24","29","10"
"19011","3","10","17","17","22","27","7"
"19012","7","10","10","15","27","28","7"
"19013","4","11","12","18","20","29","8"
"19014","10","10","12","14","25","26","2"
"19015","7","7","18","18","27","28","10"
"19016","3","13","14","15","20","25","10"
"19017","7","10","14","17","26","30","7"
"19018","5","8","11","15","24","25","10"
"19019","3","7","19","21","22","30","10"
"19020","3","8","14","22","24","30","8"
"19021","7","8","15","20","26","28","4"
"19022","6","10","15","18","24","29","9"
"19023","6","7","15","20","21","29","12"
"19024","7","10","13","17","24","29","10"
"19025","6","11","13","22","25","26","8"
"19026","9","9","17","21","25","26","12"
"19027","3","14","16","19","20","31","5"
"19028","3","4","11","21","21","28","4"
"19029","6","11","13","16","26","31","8"
"19030","3","11","11","13","19","27","7"
"19031","5","6","16","19","20","31","11"
"19032","5","9","12","14","25","29","9"
"19033","3","6","15","18","25","27","12"
"19034","9","12","12","18","22","31","11"
"19035","10","11","13","14","25","26","11"
"19036","3","9","15","25","26","32","8"
"19037","6","12","13","19","25","29","3"
"19038","3","9","14","21","28","30","8"
"19039","8","10","13","18","25","31","7"
"19040","3","5","8","14","20","28","8"
"19041","5","8","9","18","25","27","6"
"19042","2","11","13","14","27","31","6"
"19043","9","9","13","20","24","28","2"
"19044","7","9","18","22","22","28","7"
"19045","3","12","14","15","22","29","9"
"19046","4","8","10","19","24","27","11"
"19047","4","12","16","19","22","26","12"
"19048","5","9","12","18","24","27","10"
"19049","10","11","13","16","23","26","10"
"19050","3","6","13","17","26","31","10"
"19051","3","9","15","23","24","29","10"
"19052","4","7","14","18","25","26","11"
"19053","6","9","16","18","25","29","7"
"19054","3","4","11","20","26","26","11"
"19055","3","10","12","19","21","23","8"
"19056","6","9","19","21","24","30","7"
"19057","7","10","10","19","25","28","7"
"19058","7","11","13","14","18","29","9"
"19059","6","11","13","15","24","26","6"
"19060","9","14","16","20","27","27","5"
"19061","5","8","13","17","26","28","7"
"19062","6","9","18","22","22","31","9"
"19063","3","10","15","20","21","29","5"
"19064","5","7","13","20","20","25","8"
"19065","7","8","15","18","23","26","9"
"19066","8","10","12","21","22","29","6"
"19067","7","12","15","16","24","28","4"
"19068","7","11","17","18","25","29","7"
