"n","a1","a2","a3","a4","a5","a6","b1"
22002,4,10,17,19,23,28,4
22003,4,8,15,23,25,32,4
22004,3,8,12,16,25,31,3
22005,5,11,19,20,26,26,7
22006,6,9,14,19,22,25,9
22007,4,10,16,19,22,28,6
22008,7,7,16,21,26,31,10
22009,5,5,16,21,26,30,8
22010,5,12,16,19,22,29,10
22011,8,10,14,15,23,23,9
22012,7,7,14,18,25,28,8
22013,11,11,12,19,23,32,9
22014,6,10,13,17,22,31,11
22015,6,9,13,19,21,30,10
22016,3,12,16,21,25,31,8
22017,4,9,14,21,25,31,10
22018,5,9,17,18,26,30,8
22019,4,7,8,19,20,28,8
22020,6,9,13,19,21,30,7
22021,7,11,15,21,21,31,5
22022,5,10,13,18,23,27,9
22023,3,10,17,19,26,28,5
22024,4,6,13,15,20,24,4
22025,5,13,16,19,24,26,7
22026,7,9,11,19,22,25,8
22027,7,11,12,19,23,30,9
22028,3,12,15,20,24,27,10
22029,4,13,16,19,20,29,8
22030,5,8,14,17,26,32,7
22031,6,9,10,19,25,29,7
22032,4,9,14,19,25,31,9
22033,3,6,15,15,25,29,5
22034,8,9,9,11,26,27,7
22035,8,8,11,18,20,29,6
