"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71"
"5003","5","5","4","5","4","10","8","3","6","7","7","7","12","10","5","10","10","9","13","11","7","7","18","11","12","17","15","14","13","14","22","20","19","14","17","19","21","15","15","16","28","21","20","24","26","24","25","19","24","19","29","22","21","29","30","33","31","29","29","32","14","11","1","4","5","15","7","6","12","8"
"5004","1","7","2","3","3","2","2","2","1","3","4","8","8","10","9","8","4","7","15","7","13","15","19","10","10","11","12","13","17","16","22","20","21","18","17","20","18","15","18","19","24","25","28","28","26","24","24","23","28","23","27","31","33","28","28","27","29","31","31","28","12","8","13","5","7","5","11","10","6","10"
"5005","4","3","7","3","6","3","6","7","7","7","11","14","7","12","9","7","10","8","10","10","11","16","16","13","15","14","12","11","11","10","22","28","20","17","20","20","21","14","21","17","27","30","27","27","22","25","22","29","23","26","27","33","32","31","30","27","30","29","30","29","9","10","7","9","15","13","5","9","10","6"
"5006","4","12","4","2","2","4","5","3","2","5","8","13","11","14","8","13","15","4","10","6","10","15","17","15","12","16","17","10","11","10","15","22","18","21","17","21","22","24","19","20","28","31","24","26","23","21","25","27","29","24","28","31","30","28","23","30","28","28","30","27","7","3","9","10","10","14","4","6","9","8"
"5007","8","1","1","8","3","5","2","3","3","4","10","5","7","10","13","9","9","11","10","6","18","15","7","18","20","16","20","15","12","16","18","18","16","18","22","22","22","18","16","21","26","26","25","26","26","23","23","19","27","29","32","26","27","32","33","27","31","29","28","30","4","12","11","4","10","12","12","6","11","12"
"5008","11","6","9","11","1","2","5","5","4","1","11","15","14","11","8","8","11","16","7","10","14","23","16","14","13","11","17","18","18","11","16","24","17","16","20","11","18","18","23","18","28","28","28","28","23","26","25","25","24","28","28","33","31","28","31","30","29","27","29","29","14","9","11","14","4","6","9","3","14","3"
"5009","11","2","8","11","5","3","5","4","5","6","12","7","9","12","13","6","8","8","11","8","25","14","21","25","14","21","15","14","11","16","27","20","23","27","21","21","15","20","21","22","27","21","29","27","31","27","27","22","26","22","33","31","31","33","31","29","30","32","27","25","5","16","6","5","3","5","3","6","5","5"
"5010","1","2","1","1","1","1","2","3","2","3","9","5","6","9","13","16","9","12","11","5","13","15","13","13","13","18","13","13","12","16","20","17","18","20","19","19","22","15","14","17","27","24","24","27","26","24","25","24","30","22","31","28","33","31","26","25","32","30","32","26","4","15","6","4","10","8","13","13","12","6"
"5011","10","10","4","10","3","9","5","2","5","8","10","13","10","10","16","11","8","8","8","9","12","16","14","12","17","12","15","9","21","18","13","24","14","13","19","15","16","18","25","18","27","28","27","27","21","28","29","26","27","26","30","32","29","30","31","32","31","29","28","32","14","3","8","14","11","6","15","7","9","11"
"5012","2","8","6","2","8","8","4","1","4","8","9","9","15","9","14","10","9","10","6","8","15","14","17","15","17","18","14","12","14","18","21","20","19","21","19","21","17","22","15","19","27","25","25","27","21","29","18","26","22","25","31","31","31","31","24","31","31","29","29","31","8","8","5","8","9","8","10","7","6","5"
"5013","6","4","1","6","1","6","3","5","2","9","8","8","8","8","6","12","12","7","5","11","9","15","12","9","11","17","18","17","8","11","21","19","19","21","11","22","22","20","23","24","26","26","24","26","26","28","22","24","24","25","30","30","26","30","26","29","28","26","31","25","14","0","9","14","6","3","11","7","11","10"
"5014","2","6","9","2","2","3","5","5","5","7","17","9","12","17","10","13","9","11","13","12","18","17","13","18","14","14","10","19","16","14","22","27","16","22","18","14","21","23","22","16","29","30","25","29","22","27","21","29","25","28","30","33","29","30","31","29","30","30","26","33","4","11","13","4","13","14","6","7","8","16"
"5015","7","3","10","7","4","6","4","5","4","4","10","4","16","10","8","6","13","7","9","11","11","7","16","11","13","14","14","19","10","12","24","25","17","24","17","21","19","20","10","17","26","30","17","26","27","26","27","21","21","25","27","31","30","27","30","29","29","28","29","28","15","8","11","15","8","5","7","4","15","11"
"5016","9","1","8","4","2","3","3","3","6","5","10","6","13","7","13","8","11","7","10","10","13","9","15","7","17","11","13","9","14","15","15","18","19","13","20","15","19","19","19","15","26","23","22","23","21","26","20","20","24","24","31","25","30","28","24","30","29","29","31","24","9","7","9","12","9","7","4","6","7","2"
"5017","5","9","7","2","7","6","2","4","8","5","14","14","13","7","8","8","10","14","8","12","16","20","14","14","16","13","22","14","17","15","23","25","21","16","22","17","22","15","18","19","29","28","26","25","27","30","23","27","22","27","30","32","32","30","28","31","32","32","30","33","2","1","13","8","6","8","4","6","7","10"
"5018","6","6","5","6","2","5","9","4","5","5","13","13","8","8","11","7","11","9","5","14","21","17","9","14","16","13","12","10","11","18","26","18","24","21","23","20","21","17","19","19","26","19","30","27","26","23","23","19","29","24","27","29","31","27","30","31","31","31","30","30","15","8","7","15","7","14","12","6","10","8"
"5019","2","3","4","5","8","6","2","2","4","2","9","4","9","11","8","11","8","7","9","8","9","8","10","13","15","16","17","14","13","15","19","18","23","16","18","25","20","16","18","22","24","24","25","23","27","26","24","25","22","22","28","31","32","30","28","28","30","29","31","27","9","11","3","6","7","8","9","7","8","11"
"5020","2","5","5","8","10","2","9","6","2","4","11","9","8","15","12","13","13","12","4","15","17","16","11","16","21","17","13","13","12","19","21","22","13","16","22","20","18","18","21","22","27","28","27","28","23","27","20","27","26","22","31","31","33","31","31","29","30","31","32","31","6","12","12","5","11","6","11","16","7","13"
