V1,V2,V3,V4,V5,V6,V7,V8
12001,4,13,16,20,25,29,10
12002,4,12,14,19,25,30,7
12003,4,10,19,23,27,32,11
12004,7,13,15,18,26,28,11
12005,4,9,15,16,27,31,6
12006,3,11,16,23,27,29,9
12007,3,11,16,18,23,27,10
12008,5,9,13,14,24,29,8
12009,3,8,15,22,25,28,6
12010,4,8,15,18,21,26,6
12011,4,10,13,18,20,28,2
12012,3,6,8,19,20,26,10
12013,6,11,11,17,25,29,9
12014,6,6,15,21,23,26,6
12015,3,9,10,16,20,21,8
12016,3,12,21,21,27,28,6
12017,5,14,20,22,28,30,7
12018,6,12,17,18,25,29,9
12019,7,10,15,22,23,28,9
12020,5,10,16,20,25,30,8
12021,3,10,12,17,24,29,10
12022,5,9,14,18,25,29,9
12023,4,5,9,19,19,28,8
12024,3,12,16,20,24,28,12
12025,4,9,16,17,27,28,7
12026,5,9,20,20,28,31,10
12027,8,13,15,19,23,29,10
12028,3,11,17,22,26,29,11
12029,3,13,14,14,19,26,10
12030,2,12,16,19,22,28,5
12031,1,9,15,16,22,30,11
12032,2,7,14,21,24,25,10
12033,4,8,13,18,24,30,11
12034,5,9,17,18,21,30,8
12035,3,7,14,17,27,33,5
12036,5,7,15,20,27,30,13
12037,4,8,16,16,24,26,10
12038,3,12,16,21,24,28,11
12039,6,10,15,22,24,29,7
12040,7,12,13,23,28,29,9
12041,7,8,13,23,27,32,8
12042,7,12,16,19,26,30,10
12043,4,6,16,18,22,28,10
12044,6,11,17,23,24,26,8
12045,3,8,14,22,24,29,5
12046,5,6,12,21,21,28,3
12047,4,9,11,22,28,30,7
12048,4,15,17,23,27,29,11
12049,3,10,13,18,26,28,10
12050,3,8,12,17,24,27,7
12051,6,10,11,14,24,26,7
12052,4,5,11,16,20,27,9
12053,4,6,11,17,23,28,6
12054,8,12,15,22,26,30,9
12055,6,10,12,16,23,29,9
12056,4,10,13,21,25,32,10
12057,12,13,18,21,27,29,10
12058,4,13,15,20,23,29,8
12059,4,10,15,19,27,31,6
12060,5,7,13,21,27,30,10
12061,4,10,13,18,22,26,10
12062,5,11,14,19,24,29,10
12063,11,14,17,23,25,28,8
12064,4,8,13,18,27,29,9
12065,6,9,12,17,24,29,10
12066,4,13,15,18,24,28,9
12067,3,14,17,21,26,29,8
12068,4,11,19,21,27,29,11
12069,7,8,15,22,22,27,8
12070,3,11,19,20,26,30,9
12071,5,10,16,21,25,29,6
12072,5,7,14,18,25,26,10
12073,3,6,8,16,22,28,4
12074,3,10,17,18,24,29,9
12075,4,11,17,20,27,28,8
12076,5,7,16,18,22,32,4
12077,3,9,14,18,24,29,8
12078,4,8,10,11,23,27,11
12079,7,9,10,17,26,31,8
12080,3,10,15,21,24,28,10
12081,2,9,14,18,24,29,10
12082,3,3,17,20,24,29,8
12083,5,6,14,22,28,29,10
12084,7,9,15,22,24,25,4
12085,3,10,16,24,25,28,11
12086,9,10,17,23,28,30,9
12087,8,10,13,20,26,28,9
12088,6,8,13,18,23,26,8
12089,8,12,16,22,25,27,11
12090,4,9,12,20,22,30,6
12091,4,11,14,19,22,30,11
12092,7,8,17,18,24,27,12
12093,3,12,12,19,22,27,12
12094,4,8,13,16,23,31,10
12095,5,10,15,21,26,28,10
12096,7,10,16,19,22,30,12
12097,5,8,10,18,18,30,6
12098,5,7,14,17,21,24,11
12099,7,8,18,20,24,29,11
12100,4,10,13,21,23,29,10
12101,4,9,17,18,25,31,10
12102,7,10,15,21,28,31,8
12103,5,11,14,21,23,26,7
12104,4,7,9,19,27,28,6
12105,4,7,18,20,21,23,9
12106,5,12,14,17,24,30,10
12107,7,10,15,19,25,30,9
12107,4,12,16,19,23,27,7
12108,4,7,13,14,19,31,7
12109,5,10,16,17,22,28,8
12110,4,5,12,16,25,28,11
12111,3,7,10,13,22,32,9
12112,3,10,13,18,23,28,8
12113,3,11,17,20,26,29,10
12114,3,7,16,20,24,29,12
12115,4,7,13,17,23,30,7
12116,3,11,13,19,24,27,6
12117,7,9,11,11,19,131,6
12118,11,17,20,20,24,29,9
12119,2,6,15,16,20,31,11
12120,5,8,11,21,26,27,8
12121,6,12,18,20,20,27,9
12122,5,10,15,20,22,28,11
12123,3,10,15,20,26,29,9
12124,5,11,12,14,20,30,12
12125,1,5,19,20,21,30,9
12126,6,9,14,17,18,29,8
12127,6,9,16,19,23,30,11
12128,7,10,15,20,23,28,7
12129,3,9,17,18,25,29,10
12130,4,10,16,19,26,30,10
12131,6,8,11,12,23,27,2
12132,1,8,17,18,21,28,8
12133,2,11,15,19,24,31,7
12134,5,10,14,18,27,29,10
12135,2,11,16,20,24,31,11
12136,5,11,15,20,22,26,9
12137,4,11,11,16,23,27,9
12138,6,9,15,22,25,28,11
12139,3,13,16,19,24,30,5
12140,5,12,17,19,22,27,11
12141,5,8,12,20,22,27,8
12142,5,5,13,17,24,31,10
12143,4,11,11,12,23,129,10
12144,5,6,13,20,25,30,10
12145,4,11,18,21,28,30,12
12146,7,10,13,19,20,29,11
12147,3,12,13,17,21,31,9
12148,3,6,19,22,25,29,8
12149,5,10,10,14,23,28,9
12150,3,9,15,21,27,29,10
12151,6,7,12,17,22,30,10
12152,6,7,12,17,22,24,8
12153,4,9,16,22,25,30,8
12154,4,8,17,21,24,28,11
13001,8,13,17,18,19,29,12
13002,3,9,10,16,18,28,10
