"n","a1","a2","a3","a4","a5","a6","b1"
9002,8,16,16,18,21,24,5
9003,3,5,9,10,19,27,8
9004,9,10,15,22,24,28,5
9005,7,12,13,18,25,27,4
9006,8,13,22,24,25,29,8
9007,6,9,12,24,25,29,6
9008,5,10,14,19,24,28,7
9009,3,14,14,19,23,28,9
9010,5,12,18,20,27,32,8
9011,6,7,11,14,22,28,7
9012,4,13,15,22,29,30,8
9013,6,11,16,17,24,31,12
9014,3,9,10,10,22,24,8
9015,4,15,16,26,28,32,11
9016,9,12,18,23,28,31,3
9017,4,10,13,16,17,23,5
9018,8,10,19,21,26,30,8
9019,2,12,14,22,25,30,8
9020,2,7,13,19,22,29,7
9021,6,14,16,23,28,31,10
9022,4,9,15,18,22,25,11
9023,3,9,15,15,23,25,5
9024,3,8,15,19,21,28,7
9025,8,12,18,23,24,29,6
9026,3,7,8,11,21,28,8
9027,6,11,13,20,25,29,7
9028,7,10,15,22,24,30,5
9029,4,15,17,22,27,30,9
9030,2,9,11,20,25,31,8
9031,2,6,15,19,25,27,13
9032,4,6,11,20,21,31,10
9033,4,7,14,24,26,28,12
9034,2,10,12,21,23,33,8
9035,4,8,14,18,25,30,12
9036,4,9,12,18,24,25,11
9037,2,9,12,14,23,31,7
9038,7,11,16,18,27,30,8
9039,3,13,14,25,29,30,2
9040,6,7,11,16,16,23,13
9041,3,9,14,21,22,26,12
9042,8,10,12,18,20,28,10
9043,7,11,16,21,25,29,3
9044,4,8,11,18,22,28,9
9045,7,13,18,24,26,31,8
9046,3,9,10,16,23,29,7
9047,3,8,17,20,23,29,7
9048,6,13,15,22,23,26,9
9049,7,12,18,23,30,32,6
9050,4,7,13,19,24,31,8
9051,0,7,14,20,24,31,11
9052,1,5,10,18,27,31,6
9053,6,7,15,18,24,28,10
9054,5,10,15,21,27,31,9
9055,3,3,12,19,22,29,14
9056,7,12,14,16,17,25,6
9057,4,8,13,21,23,32,13
9058,5,16,21,26,29,32,9
9059,1,6,14,20,23,29,6
9060,4,8,9,15,17,21,11
9061,5,9,17,19,25,29,8
9062,7,13,17,20,26,29,7
9063,2,9,16,21,26,30,9
9064,5,9,13,20,25,28,7
9065,5,15,16,22,31,32,7
9066,5,8,16,21,26,30,7
9067,3,9,17,20,26,31,9
9068,3,9,17,22,28,31,3
9069,7,11,12,22,31,32,6
9070,5,6,14,14,22,28,8
9071,2,7,18,24,28,29,7
9072,6,11,15,20,21,31,9
9073,3,10,18,25,27,32,9
9074,4,12,14,19,24,28,5
9075,4,6,12,19,26,30,6
9076,5,10,16,23,26,28,7
9077,5,7,13,17,21,30,15
9078,3,14,18,22,27,30,9
9079,2,6,11,13,14,27,6
9080,7,9,15,16,25,28,9
9081,6,11,11,15,24,24,12
9082,5,10,14,19,24,30,8
9083,7,11,14,17,24,32,7
9084,2,4,13,24,24,25,17
9085,11,11,14,22,25,31,12
9086,4,8,11,17,22,26,5
9087,7,7,15,20,23,30,13
9088,6,15,17,23,28,31,7
9089,6,10,10,23,23,29,13
9090,5,7,13,19,27,30,8
9091,11,14,17,22,27,28,8
9092,4,10,19,21,25,29,7
9093,6,11,14,18,27,29,9
9094,8,10,17,21,22,30,5
9095,5,14,22,23,24,26,9
9096,4,12,15,21,25,30,4
9097,5,10,16,23,27,29,9
9098,1,5,14,18,24,28,11
9099,2,7,18,22,27,30,4
9100,9,10,17,17,26,28,13
9101,6,6,20,21,24,28,10
9102,4,7,13,20,26,28,7
9103,6,7,7,15,27,31,9
9104,2,7,12,14,24,28,7
9105,5,11,17,21,23,28,16
9106,11,13,16,21,30,32,5
9107,2,5,7,7,17,22,15
9108,8,15,16,19,27,30,7
9109,8,10,17,21,23,28,6
9110,3,8,13,18,23,31,9
9111,4,13,16,19,26,31,6
9112,4,8,15,23,28,31,10
9113,5,9,13,21,29,30,6
9114,7,11,11,24,26,30,8
9115,5,11,13,22,27,28,10
9116,7,8,14,22,25,31,6
9117,7,11,15,22,28,32,11
9118,4,11,16,22,26,33,9
9119,8,18,18,22,28,30,10
9120,3,9,17,24,28,33,7
9121,7,15,16,20,26,28,5
9122,3,7,9,16,24,25,10
9123,4,14,17,25,26,28,9
9124,4,6,12,18,23,30,5
9125,5,7,13,22,30,31,8
9126,1,6,12,14,24,29,10
9127,4,11,17,21,26,26,8
9128,3,8,18,21,28,29,10
9129,6,9,17,21,26,30,6
9130,7,8,20,21,23,29,10
9131,5,10,13,15,25,28,13
9132,9,11,19,23,24,29,5
9133,2,8,11,19,21,32,8
9134,6,12,21,25,26,32,7
9135,3,4,12,18,26,29,8
9136,5,8,12,21,22,29,10
9137,10,12,16,19,26,32,4
9138,5,12,19,23,24,29,8
9139,3,12,18,20,23,28,6
9140,5,9,9,19,27,28,6
9141,5,10,15,18,19,25,5
9142,11,13,15,21,24,28,8
9143,3,5,15,20,23,27,14
9144,5,9,14,21,25,30,5
9145,6,10,10,18,23,29,-2
9146,6,10,16,22,26,29,12
9147,5,5,13,15,24,26,10
9148,4,11,14,24,25,26,6
9149,5,11,14,19,23,31,7
9150,5,9,15,16,27,33,6
9151,3,14,17,19,26,27,7
9152,4,8,13,15,22,25,14
9153,7,8,12,19,22,28,8
9154,3,11,11,21,25,31,7
9155,4,7,15,20,25,32,12
10002,5,9,16,22,26,29,11
10003,8,11,22,23,29,31,9
10004,8,10,17,24,26,31,5
10005,4,8,17,20,26,29,11
10006,10,11,12,19,25,30,5
10007,4,8,17,20,20,27,9
10008,1,6,10,15,24,27,11
10009,4,7,12,18,19,25,12
10010,2,4,13,13,21,29,6
10011,5,12,19,21,24,28,8
10012,7,12,13,18,23,29,7
10013,0,5,10,15,26,28,10
10014,4,5,13,13,22,24,6
10015,6,10,12,19,24,26,12
10016,8,11,13,21,23,30,9
10017,9,10,15,24,26,30,14
10018,3,7,12,14,17,23,5
10019,4,8,15,20,24,28,6
10020,3,7,11,24,24,32,15
10021,6,11,16,18,19,30,13
10022,3,16,21,23,31,32,8
10023,6,12,15,20,25,31,10
10024,6,11,12,14,22,28,9
10025,5,10,12,18,24,30,6
10026,1,12,14,23,26,32,6
10027,7,8,15,22,24,24,10
10028,5,10,14,19,25,31,8
10029,3,8,14,18,24,27,11
10030,7,9,12,14,20,23,13
10031,6,10,13,18,24,30,9
10032,2,7,15,17,24,30,6
10033,4,9,18,25,25,31,5
10034,7,13,21,25,27,34,6
10035,5,11,13,18,29,30,16
10036,1,8,13,20,23,31,4
10037,5,10,13,15,26,29,7
10038,6,13,16,21,22,24,7
10039,4,8,14,15,19,30,10
10040,7,13,14,21,21,29,10
10041,4,10,19,20,23,29,8
10042,2,10,12,15,24,29,8
10043,4,11,19,24,26,27,6
10044,3,9,13,18,25,28,5
10045,4,10,11,16,17,29,13
10046,5,7,10,19,22,27,12
10047,7,14,18,21,22,27,7
10048,4,13,18,25,28,29,7
10049,2,10,15,18,21,28,6
10050,6,8,15,17,19,21,9
10051,8,12,16,23,29,31,6
10052,2,8,8,14,19,27,12
10053,5,12,13,19,22,31,12
10054,4,5,14,14,18,23,8
10055,6,10,14,17,22,28,10
10056,4,12,14,24,25,28,11
10057,4,8,12,21,23,29,6
10058,6,12,19,19,25,30,7
10059,6,8,10,19,25,31,5
10060,4,7,7,18,26,29,7
10061,4,8,16,21,28,32,10
10062,3,5,11,21,27,31,13
