"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71"
"20001","6","7","2","5","5","5","6","5","3","6","7","11","5","8","7","8","11","8","7","6","12","15","13","9","8","13","17","13","13","18","16","23","21","22","11","15","19","16","14","18","19","23","22","24","28","21","24","23","16","21","28","24","33","31","31","28","30","30","30","31","7","8","9","7","12","12","11","6","9","15"
"20002","4","3","5","4","5","3","3","6","1","4","10","8","11","10","13","14","11","6","11","9","12","9","14","12","15","15","13","17","12","18","14","17","20","14","21","23","22","20","15","27","22","18","24","22","25","26","23","24","17","28","31","31","28","31","25","28","27","30","30","28","13","7","13","13","2","14","1","10","13","12"
"20003","5","3","5","5","1","4","6","3","8","7","9","9","6","9","4","5","6","10","14","13","19","19","15","19","15","18","14","15","15","14","23","20","19","23","23","19","20","19","16","17","24","26","25","24","27","27","25","24","24","26","30","28","29","30","27","32","33","27","29","26","6","5","8","6","8","10","11","9","7","9"
"20004","9","8","6","9","2","5","6","7","6","6","11","13","7","11","11","11","11","8","11","9","12","17","10","12","17","14","14","9","12","17","17","21","24","17","19","16","14","14","19","21","21","26","26","21","25","17","23","28","25","23","26","27","26","26","29","29","23","29","29","28","8","7","10","8","9","8","12","9","9","10"
"20005","8","10","7","8","6","5","7","4","6","4","10","12","7","10","10","12","8","9","6","11","13","12","9","13","18","14","11","12","16","11","15","17","18","15","18","18","14","15","17","17","21","19","25","21","18","22","25","24","25","27","30","29","31","30","30","29","28","27","28","29","8","2","7","8","7","4","8","7","11","9"
"20006","7","2","4","7","7","7","8","9","5","8","12","7","14","12","9","8","12","10","13","11","15","9","17","15","14","20","18","20","15","12","17","13","24","17","16","21","20","23","24","17","28","21","25","28","23","23","22","30","25","29","29","29","26","29","29","26","24","31","31","32","10","2","6","10","8","4","12","14","9","10"
"20007","5","4","3","5","4","3","3","6","1","4","9","9","12","9","13","7","13","14","9","6","21","9","16","21","17","10","15","14","17","9","22","9","18","22","19","18","19","21","20","10","27","29","23","27","25","21","23","21","25","22","29","32","31","29","28","33","32","28","32","30","12","1","9","12","9","7","7","11","8","4"
"20008","5","4","7","5","4","3","4","7","2","4","12","9","13","12","6","9","10","7","12","10","14","12","15","14","15","9","17","14","14","16","15","24","16","15","15","19","18","21","17","19","23","25","25","23","22","27","23","21","24","24","28","25","32","28","28","29","29","28","29","29","14","10","10","14","7","6","12","8","11","7"
"20009","2","8","5","2","2","4","7","2","8","9","10","10","12","10","9","5","12","11","11","10","13","13","16","13","15","11","15","13","16","12","22","19","16","22","25","22","24","18","20","19","22","24","25","22","26","27","28","25","23","25","31","25","28","31","30","30","32","30","31","28","5","5","7","5","6","10","6","7","6","7"
"20010","4","9","3","4","4","6","8","7","3","4","7","10","8","7","6","9","9","9","7","7","17","16","10","17","19","15","16","10","12","13","18","18","21","18","19","21","24","19","21","22","29","25","22","29","21","22","25","26","23","26","30","25","31","30","33","31","26","28","29","29","6","9","11","6","6","8","10","8","9","8"
