"V1","V2","V3","V4","V5","V6","V7","V8"
"20070","7","11","15","20","24","28","11"
"20071","3","6","13","19","22","27","11"
"20072","4","6","14","21","27","30","5"
"20073","8","11","13","19","27","29","4"
"20074","3","9","11","18","24","26","5"
"20075","2","8","11","20","21","29","4"
"20076","2","6","15","19","22","28","7"
"20077","5","7","16","17","22","29","6"
"20078","5","14","15","17","23","31","4"
"20079","4","12","13","14","27","28","5"
"20080","6","11","17","21","25","31","2"
"20081","2","10","13","14","22","30","7"
"20082","6","11","11","18","20","30","10"
"20083","4","11","12","12","30","32","4"
"20084","2","8","13","19","25","26","10"
"20085","2","14","14","20","25","29","3"
"20086","5","7","11","20","23","25","8"
"20087","7","10","18","20","25","31","9"
"20088","9","10","11","13","22","31","11"
"20089","6","7","9","17","26","31","9"
"20090","4","13","21","21","25","25","11"
"20091","4","14","15","18","22","24","7"
"20092","5","12","17","20","20","21","8"
"20093","3","10","20","23","23","24","9"
"20094","9","9","11","13","20","24","10"
"20095","8","12","16","17","22","30","12"
"20096","5","6","9","16","24","25","11"
"20097","2","7","18","21","25","29","4"
"20098","1","10","14","15","25","30","7"
"20099","2","10","13","22","25","30","11"
"20100","3","11","17","20","21","29","11"
"20101","5","12","13","21","22","26","4"
"20102","5","6","16","17","23","32","7"
"20103","6","10","17","24","28","29","5"
"20104","3","11","14","24","25","31","13"
"20105","4","5","10","22","25","31","13"
"20106","4","10","14","21","27","31","9"
"20107","4","12","18","22","24","28","6"
"20108","3","12","14","15","18","26","11"
"20109","7","10","16","22","24","32","7"
"20110","4","7","12","18","22","32","5"
"20111","8","10","14","23","23","31","7"
"20112","3","14","15","19","28","30","10"
"20113","2","5","11","20","26","29","6"
"20114","4","5","15","15","16","30","9"
"20115","3","9","13","22","26","27","6"
"20116","2","7","13","21","27","27","13"
"20117","3","11","18","19","27","32","6"
"20118","6","9","17","17","19","32","5"
"20119","9","11","16","19","24","29","10"
"20120","5","6","15","16","22","30","2"
"20121","5","8","11","14","27","30","0"
"20122","7","12","18","19","21","31","9"
"20123","2","5","17","20","20","31","10"
"20124","3","9","14","16","26","30","5"
"20125","4","13","14","19","26","26","9"
"20126","4","11","14","15","20","21","6"
"20127","3","11","16","19","26","26","11"
"20128","8","10","21","25","26","30","9"
"20129","6","8","14","17","18","29","9"
"20130","2","7","20","21","21","28","8"
"20131","13","15","16","22","26","32","11"
"20131","9","9","9","14","25","28","9"
"20132","2","8","17","21","21","30","6"
"20133","3","3","21","22","24","29","5"
"20134","6","11","19","20","27","32","12"
"21001","4","14","15","18","24","32","10"
"21002","1","9","14","19","26","32","13"
"21003","2","7","12","15","25","30","8"
"21004","4","10","16","16","24","29","7"
"21005","4","9","14","18","19","30","9"
"21006","4","6","12","22","25","29","9"
"21007","2","10","19","20","25","29","4"
"21008","3","7","20","21","28","28","10"
"21009","3","7","12","18","22","29","9"
"21010","4","6","12","22","24","30","3"
