"number","a1","a2","a3","a4","a5","a6","b1"
21117,6,12,17,18,30,33,6
21117,4,6,13,17,21,27,11
21117,2,5,12,18,19,23,9
21117,4,10,14,20,20,28,9
21117,6,11,16,16,20,32,8
21117,4,11,13,18,23,31,10
21117,3,9,16,19,25,30,5
21117,4,5,12,22,22,709,9
21117,4,8,13,21,23,28,6
21117,3,6,13,21,25,700,12
21117,-1,7,13,20,25,28,6
21117,4,8,15,21,26,700,8
21117,10,12,16,22,25,30,10
21117,4,8,13,16,22,692,7
21117,4,7,12,16,23,29,8
21117,4,6,14,19,25,29,10
21117,4,8,13,18,26,31,9
21117,3,10,16,16,25,30,10
21117,4,10,11,17,26,33,5
21117,3,9,15,17,20,25,11
21117,4,12,22,25,30,32,7
21117,4,8,13,19,24,29,9
21117,4,12,15,19,25,27,10
21117,4,13,14,21,24,28,8
21117,6,11,15,19,26,32,8
21117,4,8,12,22,27,28,6
21117,7,10,14,25,26,29,5
21117,5,8,15,19,27,27,9
21117,1,10,13,15,18,27,13
21117,5,9,15,19,28,30,11
